DISTRICT-WISE REPORTED CASES UNDER VARIOUS HEADS FOR THE MONTH OF MAY - 2024 (AS ON 03/06/2024),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sl.
No.",Crime Head,"to
k
la
g
a
B","ira
lla
B","y
tiC
iv
a
g
a
le
B","tsiD
iv
a
g
a
le
B","y
tic
u
ru
la
g
n
e
B","tcirtsiD
u
ru
la
g
n
e
B","ra
d
iB","ra
g
a
n
a
ja
ra
m
a
h
C","a
ru
p
a
lla
b
k
cih
C","u
ru
la
g
a
m
a
k
k
ih
C","a
g
ru
d
a
rtih
C","a
d
a
n
n
a
k
a
n
ih
sk
a
D","e
re
g
a
n
a
v
a
D","d
a
w
ra
h
D","g
a
d
a
G","n
a
ssa
H","ire
v
a
H","y
tiC
d
a
w
ra
h
D
illa
b
b
u
H","F
.G
.K","ig
a
ru
b
a
la
K","y
tiC
ig
a
ru
b
a
la
K","sy
a
w
lia
R
a
k
a
ta
n
ra
K","u
g
a
d
o
K","ra
lo
K","la
p
p
o
K","a
y
d
n
a
M","y
tiC
u
ro
o
la
g
n
a
M","y
tiC
u
ru
sy
M","tcirtsiD
u
ru
sy
M","ru
h
cia
R","a
ra
g
a
n
a
m
a
R","a
g
g
o
m
a
v
ih
S","u
ru
k
a
m
u
T","ip
u
d
U","a
d
a
n
n
a
k
a
ra
ttU","a
ra
g
a
n
a
y
a
jiV","ru
p
a
y
a
jiV","rig
d
a
Y","la
to
T"
1,MURDER,1,2,2,6,18,5,3,0,1,3,1,2,3,2,2,3,2,2,0,3,1,3,1,2,2,2,0,2,4,4,7,4,8,0,2,3,6,1,113
2,DACOITY,0,0,2,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8
3,ROBBERY,1,1,0,0,70,3,0,0,1,0,0,1,2,1,0,2,5,1,1,2,4,1,1,2,1,2,3,3,3,2,4,2,0,0,1,1,3,0,124
3a,CHAIN SNATCHING,0,3,3,1,13,3,0,0,0,0,1,0,3,0,0,4,0,0,0,0,1,1,0,0,2,5,2,5,2,1,3,1,2,0,0,1,1,0,58
4a,BURGLARY - DAY,0,1,1,3,17,5,3,1,2,2,0,0,2,0,2,5,3,2,0,1,1,0,2,0,1,4,4,1,1,5,7,3,10,4,4,3,2,1,103
4b,BURGLARY - NIGHT,15,11,7,7,73,23,11,7,11,4,7,6,8,2,4,12,14,7,4,7,12,0,7,8,3,10,8,5,21,4,14,12,13,6,7,7,9,5,391
5,THEFT,18,26,31,43,927,144,26,12,34,15,40,22,30,5,16,38,41,19,15,50,25,55,7,19,15,31,23,45,38,56,50,46,66,23,12,16,31,18,2128
6,RIOTS,7,6,9,34,15,12,19,5,16,6,18,6,19,6,11,5,17,2,3,14,8,0,2,5,7,7,2,2,32,26,3,16,1,6,9,11,8,20,395
7,CASES OF HURT,12,18,10,58,410,58,71,37,45,46,65,30,29,27,6,90,24,18,22,42,17,3,26,37,7,68,18,46,112,19,40,69,61,26,43,25,61,30,1826
8,Spl & Local laws,69,95,26,73,2243,129,61,28,106,66,86,33,97,36,86,68,64,81,27,48,46,5,29,41,50,69,154,61,64,100,74,120,152,83,53,37,76,41,4777
9a,RAPE,1,1,2,0,21,2,0,4,2,0,4,0,3,0,2,3,3,1,1,2,1,0,0,0,2,1,2,3,1,1,1,1,3,5,2,0,4,1,80
9b,DOWRY DEATHS,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9
10,POCSO,4,5,2,13,46,8,7,6,19,10,7,6,9,4,4,17,7,5,4,5,0,0,2,5,5,6,6,4,6,2,9,11,14,11,10,7,5,3,294
11,SC ST & POA Act,6,1,7,14,17,6,1,1,9,3,4,2,4,3,3,6,5,6,0,6,4,0,0,2,3,4,3,2,5,5,7,2,10,2,5,1,7,4,170
12a,107 Cr.P.C.,63,28,53,100,60,21,53,21,22,71,98,23,15,81,113,64,79,26,9,28,9,1,16,27,38,23,15,11,51,57,15,36,47,14,38,109,53,33,1621
12b,109 Cr.P.C.,8,4,6,5,107,3,7,1,4,29,5,1,4,7,5,4,6,2,2,1,2,11,1,7,6,3,1,3,8,4,15,3,13,1,1,7,5,0,302
12c,110 Cr.P.C.,15,0,9,14,68,1,10,0,0,10,9,3,0,15,5,1,1,18,0,8,2,1,0,5,6,2,1,2,1,3,0,0,0,0,0,9,23,4,246
13,CYBER CRIME,2,8,9,3,1773,81,11,4,18,17,6,19,23,9,9,12,14,31,13,5,3,0,14,5,8,8,13,24,8,3,34,16,39,27,8,0,3,1,2281
14a,Cr. Br. of Trust,0,0,0,0,14,2,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,4,2,0,0,2,0,1,0,2,0,1,0,0,0,0,33
14b,CHEATING,9,2,11,14,260,37,1,2,10,4,7,3,6,6,3,6,7,12,4,3,8,0,7,8,5,4,13,10,5,6,10,13,17,9,13,1,12,0,548
14c,COUNTERFEITING,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
15,KMMC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,4
15a,MMDR,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,6
16,"Motor vehicles
Theft Cases",14,7,18,21,544,109,12,9,20,5,24,8,14,4,7,12,23,14,5,4,15,6,0,12,8,13,9,21,21,13,23,20,44,5,5,9,14,8,1120
17,NDPS Cases,0,1,0,1,27,8,1,1,3,4,8,2,10,1,1,8,0,4,3,0,1,4,2,2,0,1,82,4,0,2,2,31,3,24,0,0,2,0,243
