S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
1,Bagalkot,182,182,0,
2,Ballari,189,188,1,
3,Belagavi City,201,201,0,
4,Belagavi Dist,298,297,1,
5,Bengaluru City,"2,701","2,292",409,
6,Bengaluru Dist,230,55,175,
7,Bidar,230,230,0,
8,Chamarajanagar,157,157,0,
9,Chickballapura,145,145,0,
10,Chikkamagaluru,259,259,0,
11,Chitradurga,207,162,45,
12,Coastal Security Police,44,34,10,
13,Dakshina Kannada,182,182,0,
14,Davanagere,249,222,27,
15,Dharwad,117,117,0,
16,Gadag,175,169,6,
17,Hassan,204,204,0,
18,Haveri,143,143,0,
19,Hubballi Dharwad City,272,272,0,
20,K.G.F,111,109,2,
21,Kalaburagi,229,145,84,
22,Kalaburagi City,164,113,51,
23,Karnataka Railways,97,97,0,
24,Kodagu,168,126,42,
25,Kolar,197,191,6,
26,Koppal,175,175,0,
27,Mandya,256,256,0,
28,Mangaluru City,238,215,23,
29,Mysuru City,239,231,8,
30,Mysuru Dist,230,230,0,
31,Raichur,199,192,7,
32,Ramanagara,213,198,15,
33,Shivamogga,264,263,1,
34,Tumakuru,298,256,42,
35,Udupi,208,208,0,
,,,,,
