Sl.No.,Location of Accidents,No. of Cases,,,No. of Persons,,
,,Fatal,Non-Fatal,Total,Killed,Injured,Total
1,National Highways,3 3 4,864,1198,379,1542,1921
2,State Highways,234,567,801,252,1130,1382
3,Other Roads,3 57,1276,1633,363,1800,2163
,TOTAL,925,2707,3632,994,4472,5466
