S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
1,Bagalkot,180,141,39,
2,Ballari,159,142,17,
3,Belagavi City,233,156,77,
4,Belagavi Dist,290,117,173,
5,Bengaluru City,"3,218","1,107",2111,
6,Bengaluru Dist,219,14,205,
7,Bidar,184,92,92,
8,Chamarajanagar,136,83,53,
9,Chickballapura,132,122,10,
10,Chikkamagaluru,204,119,85,
11,Chitradurga,195,86,109,
12,Coastal Security Police,56,6,50,
13,Dakshina Kannada,172,113,59,
14,Davanagere,224,79,145,
15,Dharwad,119,113,6,
16,Gadag,176,93,83,
17,Hassan,211,54,157,
18,Haveri,156,61,95,
19,Hubballi Dharwad City,283,115,168,
20,K.G.F,95,28,67,
21,Kalaburagi,221,58,163,
22,Kalaburagi City,182,53,129,
23,Karnataka Railways,94,35,59,
24,Kodagu,153,80,73,
25,Kolar,207,45,162,
26,Koppal,167,123,44,
27,Mandya,221,97,124,
28,Mangaluru City,243,65,178,
29,Mysuru City,281,97,184,
30,Mysuru Dist,208,167,41,
31,Raichur,186,143,43,
32,Ramanagara,204,49,155,
33,Shivamogga,238,191,47,
34,Tumakuru,333,82,251,
35,Udupi,173,125,48,
,,,,,
