Name of the unit,No. of cases,Name of the unit,No. of cases
Bengaluru City,4,Mangalore City,1
Bagalkot District,1,Bengaluru District,1
Davanagere District,1,Gadag District,1
Kodagu District,1,Udupi District,1
Vijayapura District,1,,
