S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
1,Bagalkot,168,168,0,
2,Ballari,168,167,1,
3,Belagavi City,212,212,0,
4,Belagavi Dist,284,283,1,
5,Bengaluru City,"3,153","2,455",698,
6,Bengaluru Dist,209,44,165,
7,Bidar,225,225,0,
8,Chamarajanagar,132,132,0,
9,Chickballapura,139,139,0,
10,Chikkamagaluru,246,242,4,
11,Chitradurga,195,155,40,
12,Coastal Security Police,42,30,12,
13,Dakshina Kannada,178,178,0,
14,Davanagere,218,155,63,
15,Dharwad,118,118,0,
16,Gadag,164,158,6,
17,Hassan,215,215,0,
18,Haveri,146,142,4,
19,Hubballi Dharwad City,253,252,1,
20,K.G.F,99,99,0,
21,Kalaburagi,204,160,44,
22,Kalaburagi City,160,160,0,
23,Karnataka Railways,90,90,0,
24,Kodagu,145,144,1,
25,Kolar,196,194,2,
26,Koppal,178,178,0,
27,Mandya,242,241,1,
28,Mangaluru City,229,215,14,
29,Mysuru City,248,238,10,
30,Mysuru Dist,221,221,0,
31,Raichur,177,175,2,
32,Ramanagara,203,191,12,
33,Shivamogga,268,268,0,
34,Tumakuru,298,286,12,
35,Udupi,208,208,0,
,,,,,
