"Comparitive Crime Statement 17 for the Years 2022, 2023, and 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KARNATAKA STATE,2022,,,,,,,,,,,,,2023,,,,,,,,,,,,,2024 As on 31/03/2024,,,,,,,,,,,,
Head Name,Rep,Fal,Tr,Tru,NI,Con,"Dis/
ACQ",Com,PT,UI,Un,OD,AB,Rep,Fal,Tr,Tru,NI,Con,"Dis/
ACQ",Com,PT,UI,Un,OD,AB,Rep,Fal,Tr,Tru,NI,Con,"Dis/
ACQ",Com,PT,UI,Un,OD,AB
PART-I (IPC Cases),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murder,1370,84,33,1253,0,11,56,0,1070,29,38,2,47,1296,36,30,1230,0,3,13,0,1045,135,2,0,32,304,0,9,295,0,0,0,0,17,278,0,0,
Attempt to murder,2830,170,8,2652,0,13,156,13,2348,73,20,18,11,2822,119,13,2690,0,2,24,3,1842,794,10,8,7,715,3,2,710,0,0,0,0,49,661,0,0,
C.H.Not Amounting to murder,95,11,2,82,0,1,3,0,67,6,1,2,2,80,6,1,73,0,0,1,0,49,22,0,0,1,31,0,0,31,0,0,0,0,2,29,0,0,
Dacoity,217,19,4,194,0,0,4,0,167,7,16,0,0,180,11,3,166,0,0,0,0,110,55,0,1,0,54,0,2,52,0,0,0,0,0,52,0,0,
Preparation And Assembly For Dacoity,294,0,0,294,0,0,7,0,286,1,0,0,0,135,0,0,135,0,0,0,0,118,17,0,0,0,33,0,0,33,0,0,0,0,4,29,0,0,
Robbery,1069,51,11,1007,0,2,28,6,766,24,175,5,1,1249,34,20,1195,0,0,7,1,666,435,86,0,0,348,2,2,344,0,0,0,0,22,322,0,0,
Chain Snatching,669,3,8,658,0,1,11,1,445,22,177,1,0,636,5,4,627,0,1,1,0,275,289,61,0,0,182,1,0,181,0,0,0,0,6,175,0,0,
H.B.T by day,990,33,0,957,0,7,11,0,438,20,479,2,0,1171,29,0,1142,0,1,8,0,341,454,338,0,0,282,2,0,280,0,0,0,0,13,266,1,0,
H.B.T by night,4436,48,3,4385,0,35,46,2,1626,89,2579,2,6,4865,29,2,4834,0,7,6,1,1175,1795,1846,4,0,1082,3,0,1079,0,0,0,0,38,1033,8,0,
House theft,1298,68,1,1229,0,7,16,6,417,15,767,1,0,2155,101,1,2053,0,3,3,1,456,468,1119,3,0,448,4,2,442,0,0,0,0,23,412,7,0,
