S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
36,Uttara Kannada,221,221,0,
37,Vijayanagara,142,142,0,
38,Vijayapur,219,219,0,
39,Yadgir,142,110,32,
40,Forest Cell,47,42,5,
41,CID,210,202,8,
42,ISD Bengaluru,78,78,0,
43,State INT,712,684,28,
44,APTS Yelahanka,19,4,15,
45,Battalion I - Bangalore,63,61,2,
46,Battalion II - Belgaum,36,32,4,
47,Battalion III - Bangalore,52,50,2,
48,Battalion IV - Bangalore,47,28,19,
49,Battalion IX - Bangalore,35,35,0,
50,Battalion V - Mysore,43,40,3,
51,Battalion VI - Gulbarga,39,36,3,
52,Battalion VII - Mangalore,36,35,1,
53,Battalion VIII - Shimoga,43,40,3,
54,Battalion X - Haveri,40,32,8,
55,Battalion XI - Hassan,49,47,2,
56,Battalion XII Tumakuru,40,40,0,
57,Central Range,6,3,3,
58,Centre for Counter Terrorism,44,37,7,
59,Chief Office,124,78,46,
60,COMMANDANT MOUNTED,KARP 19,18,1,
61,Eastern Range,3,3,0,
62,FPB Unit,20,4,16,
63,FSL Madiwala,22,15,7,
64,I.R.B. Vijayapura,40,35,5,
65,IGP Railways,3,3,0,
66,IGP TRAINING,8,8,0,
67,IIIrd BN KSISF,27,25,2,
68,IInd BN KSISF,25,25,0,
69,IRB Munirabad,50,46,4,
70,ISD,141,136,5,
71,Ist BN KSISF,43,43,0,
72,Kalaburgi Range,6,3,3,
73,KPA Mysore,36,36,0,
74,KSPTS Channapatna,20,19,1,
,,,,,
