Sl.No,District_Name,FIR Count,FIR eSign Count,FIR %
1,Vijayapur District,562,549,97.69
2,Bagalkot District,337,322,95.55
3,Koppal District,292,271,92.81
4,Uttara Kannada District,339,314,92.63
5,Gadag District,326,298,91.41
6,Kalaburagi City,260,232,89.23
7,Chikkamagaluru District,340,300,88.24
8,Mysuru City,280,247,88.21
9,Dakshina Kannada District,208,182,87.50
10,Udupi District,282,241,85.46
11,Tumakuru District,934,781,83.62
12,Dharwad District,149,124,83.22
13,Ramanagara District,518,383,73.94
14,K.G.F District,134,99,73.88
15,Belagavi District,663,482,72.70
16,SP Railways,75,54,72.00
17,Yadgir District,214,153,71.50
18,Raichur District,389,277,71.21
19,Mandya District,551,392,71.14
20,Ballari District,351,240,68.38
21,Hassan District,615,409,66.50
22,Haveri District,412,269,65.29
23,Chamarajanagar District,321,192,59.81
24,Kolar District,292,162,55.48
25,Davanagere District,567,289,50.97
26,Bengaluru District,906,450,49.67
27,Chitradurga District,676,313,46.30
28,Bengaluru City,5166,2061,39.90
29,Vijayanagara District,305,120,39.34
30,Hubballi Dharwad City,252,99,39.29
31,KODAGU(Madikeri) District,252,88,34.92
32,Bidar District,496,122,24.60
33,Mangalore COP,326,76,23.31
34,Chickballapura District,521,113,21.69
35,Kalaburagi District,385,37,9.61
36,Mysuru District,611,54,8.84
37,Belagavi City,200,12,6.00
38,Shivamogga District,661,33,4.99
Total,,20168,10840,53.75
