Sl. No.,Heads of Crime,"During the
current year upto
the end of month
under review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
10,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO
460, 462 IPC)",,,,
,At Residential Premises,129,60,62,67
,On Highways,0,0,0,0
,In Trains,0,0,0,0
,At Banks,0,0,0,0
,At Commercial Places / Establishments,6,3,2,4
,In Other Places,10,2,6,4
,Temple Theft,5,2,3,2
,Sub Total,150,67,73,77
,Total Burglary (Burglary Day + Burglary Night),893,376,445,448
11,THEFT (Sec.379 to 389 IPC),,,,
,Of sand,170,82,65,105
,Attempt to commit,10,3,3,7
,At ATM,0,2,0,0
,Of Automobiles - Of Tractors,15,0,10,5
,Communication And Elec. Wire,41,17,26,15
,Of Cattle,56,51,32,24
,Of Cycle,18,10,13,5
,Of Automobiles - Of Lorries/Trucks,25,15,14,11
,Of Automobiles - Of Buses,3,0,1,2
,Of Automobiles - Of Cars / Jeeps,38,22,25,13
,Of Automobiles - Of Two Wheelers,1622,842,814,808
,Of Automobies - of Three Wheelers,55,13,37,18
,Of Accessories of Motor Vehicle,40,32,21,19
,Govt. Vehicle,0,1,0,0
,"Electronic Goods (Radio, TV, VCR, Acs, Office
Automation Equipments)",231,98,117,114
,Of Fire Arms,0,0,0,0
,Of Explosives,1,0,0,1
,Of Cultural - Idols,0,0,0,0
,Of Cultural - Painting,1,0,0,1
,Of Cultrual - Others,48,27,25,23
,Cash,84,48,39,45
,Jewellery,209,67,98,111
,Other Items Not Included Above,260,157,129,131
,In Running Train,5,2,1,4
,Extortion,34,12,16,18
,House Theft,254,91,132,122
,Servant Theft,47,32,23,24
,Sub Total,3267,1624,1641,1626
12,RIOTS (Sec.141 to 153 IPC),,,,
,Land Dispute,179,82,82,97
,Employee - Govt.,0,2,0,0
,Labour - Private Sector,1,0,0,1
,Labour - Public Sector,0,0,0,0
,Linguistic,1,0,1,0
,Political,5,1,0,5
,Regional,0,3,0,0
,Sectarian,0,0,0,0
,Students,1,1,1,0
,Tribal,0,0,0,0
,Due to Village Disputes,4,0,1,3
,Communal,0,2,0,0
,Industrial,2,0,1,1
,Caste,2,1,0,2
,Agrarian,1,0,1,0
,Others,379,262,192,187
,Sub Total,575,354,279,296
13,"OFFENCES AGAINST STATE (Sec. 121 to 130,
except 124(A) IPC)",0,0,0,0
14,"OFFENCES PROMOTING ENEMITY (Sec. 153(A),
154(B) & 505 IPC",6,7,4,2
15,CRIMINAL BREACH OF TRUST,76,37,35,41
