Sl. No.,Heads of Crime,"During the
current year upto
the end of month
under review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
50,"INSULTING MODESTY OF WOMEN (EVE
TEASING) (Sec.509 IPC)",,,,
,Attempt to Commit,1,0,1,0
,Office,4,2,2,1
,Public Conveyance,2,0,1,1
,Public Place,9,2,2,6
,Other Places,11,2,1,5
,Sub Total,27,6,7,13
51,"SUICIDE (Sec.305, 306, 309 IPC)",,,,
,Dowry,4,0,1,2
,Abetment of Suicide,66,30,23,23
,Other Reasons,92,34,30,34
,Attempt to Commit suicide,44,8,16,13
,Sub Total,206,72,70,72
52,UNNATURAL SEX (Sec.377 IPC),,,,
,Abetment,0,0,0,0
,Animal,2,0,0,0
,Attempt,0,0,0,0
,Major - Man,2,1,0,2
,Major - Woman,0,1,0,0
,Minor - Boy,0,0,0,0
,Minor - Girl,0,0,0,0
,Sub Total,4,2,0,2
53,"WRONGFUL RESTRAINT/CONFINEMENT
(Sec.341 to 348 IPC)",,,,
,Attempt to Commit,4,0,2,0
,To Extort Confession,1,0,0,1
,To Extort Property,7,0,2,3
,To settle Dispute,6,5,3,2
,Others,86,25,26,26
,Sub Total,104,30,33,32
54,"INFANTICIDE (Sec.315, 316 IPC)",,,,
,Male,0,0,0,0
,Female,0,0,0,0
,Sub Total,0,0,0,0
55,"OFFENCES RELATED TO MARRIAGE (Sec.493 to
498 IPC)",13,3,5,2
56,"BUYING & SELLING MINOR FOR PROSTITUTION
(Sec.372, 373 IPC)",0,0,0,0
57,"DOCUMENTS & PROPERTY MARKS (Sec.483 to
489 IPC)",,,,
,Documents,1,0,0,1
,Property,0,0,0,0
,Sub Total,1,0,0,1
58,DEFAMATION (Sec.500 to 502 IPC),,,,
,Persons,1,0,0,0
,Printed Matter,0,0,0,0
,Others,0,0,0,0
,Sub Total,1,0,0,0
59,ELECTION(Sec.171(E) to 171(1) IPC),,,,
,Assembly,146,0,0,146
,Parliament,0,0,0,0
,Other Elected Bodies,10,0,0,10
,Sub Total,156,0,0,156
60,"SLAVERY (Sec.370, 371, 374 IPC)",,,,
,Man,0,0,0,0
,Woman,0,1,0,0
,Boy,0,0,0,0
,Girl,0,0,0,0
,Sub Total,0,1,0,0
