Sl. No.,Heads of Crime,"During the
current year
upto the end of
month under
review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
10,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO
460, 462 IPC)",,,,
,At Residential Premises,247,69,91,67
,On Highways,0,1,0,0
,In Trains,1,0,0,0
,At Banks,0,0,0,0
,At Commercial Places / Establishments,13,5,4,7
,In Other Places,16,2,3,5
,Temple Theft,5,3,1,1
,Sub Total,282,80,99,80
,Total Burglary (Burglary Day + Burglary Night),1363,389,449,396
11,THEFT (Sec.379 to 389 IPC),,,,
,Of Sand,419,76,124,206
,Attempt to commit,13,2,2,7
,Of Automobiles - Of Tractors,26,17,10,9
,At ATM,2,2,1,0
,Communication And Elec. Wire,55,26,17,22
,Of Cattle,117,22,44,37
,Of Cycle,27,9,6,14
,Of Automobiles - Of Lorries/Trucks,23,9,7,9
,Of Automobiles - Of Buses,3,1,2,0
,Of Automobiles - Of Cars / Jeeps,80,21,44,18
,Of Automobiles - Of Two Wheelers,2901,843,942,994
,Of Automobies - of Three Wheelers,70,14,20,30
,Of Accessories of Motor Vehicle,82,14,31,24
,Govt. Vehicle,0,0,0,0
,"Electronic Goods (Radio, TV, VCR, Acs, Office
Automation Equipments)",374,120,127,124
,Of Fire Arms,1,0,1,0
,Of Explosives,0,0,0,0
,Of Cultural - Idols,4,0,2,1
,Of Cultural - Painting,1,0,0,1
,Of Cultrual - Others,75,20,22,21
,Cash,158,40,61,48
,Jewellery,438,93,156,165
,Other Items Not Included Above,544,147,173,177
,In Running Train,12,7,5,2
,Extortion,71,11,24,23
,House Theft,448,118,133,150
,Servant Theft,130,39,54,44
,Sub Total,6074,1651,2008,2126
12,RIOTS (Sec.141 to 153 IPC),,,,
,Land Dispute,255,89,79,87
,Employee - Govt.,0,0,0,0
,Labour - Private Sector,1,1,1,0
,Labour - Public Sector,1,1,0,1
,Linguistic,1,0,0,0
,Political,2,6,1,1
,Regional,2,1,2,0
,Sectarian,0,0,0,0
,Students,4,0,1,0
,Tribal,0,0,0,0
,Due to Village Disputes,9,0,5,3
,Communal,0,0,0,0
,Industrial,3,0,1,2
,Caste,1,1,0,1
,Agrarian,0,0,0,0
,Others,641,251,201,236
,Sub Total,920,350,291,331
13,"OFFENCES AGAINST STATE (Sec. 121 to 130,
except 124(A) IPC)",0,0,0,0
14,"OFFENCES PROMOTING ENEMITY (Sec. 153(A),
154(B) & 505 IPC",38,1,8,15
15,CRIMINAL BREACH OF TRUST,156,41,55,54
