Sl. No.,Heads of Crime,"During the
current year
upto the end of
month under
review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
D.CRIME AGAINST CHILDREN,,,,,
1,"Infanticide/ Foeticide
(Sec. 315 & 316 IPC)",0,0,0,0
2,Rape on Minor,0,0,0,0
3,Exposure & abandonment (Sec. 317 IPC),27,4,6,3
4,Kidnapping & Abduction of Children,2001,258,374,387
4.1,For Ransom - of Children,6,0,0,2
4.2,of Children - for begging,0,0,0,0
4.3,of Girls - Immoral Purpose,0,0,0,0
4.4,With intent to Steal from Child,0,0,0,0
4.5,Lawful Guardianship,2,0,0,2
4.6,Procuration of Minor Girls - For Prostitution,0,0,0,0
4.7,Procuration of Minor Girls - Importing of Girl,0,0,0,0
4.8,Procuration of Minor Girls - For Other Purposes,10,2,1,0
,Sub Total,2019,260,375,391
5,Selling of girls for Prostitution (Sec.372 IPC),0,0,0,0
6,The Prohibition of Child Marriage Act - 2006,86,17,18,22
7,POCSO Act,1976,336,363,280
8,Death of Children due to miscarriage,19,1,3,6
9,Juvenile Justice Act,84,7,19,10
10,Child Labour (Pro.& Reg.) Act,49,18,4,19
11,Probation of Offenders Act,0,0,0,0
,Total (Item 1 to 11),4260,643,788,731
