"Comparitive Crime Statement 17 for the Years 2023, 2024, and 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KARNATAKA STATE,2023,,,,,,,,,,,,,2024,,,,,,,,,,,,,2025 As on 31/10/2025,,,,,,,,,,,,
Head Name,Rep,Fal,Tr,Tru,NI,Con,"Dis/
ACQ",Com,PT,UI,Un,OD,AB,Rep,Fal,Tr,Tru,NI,Con,"Dis/
ACQ",Com,PT,UI,Un,OD,AB,Rep,Fal,Tr,Tru,NI,Con,"Dis/
ACQ",Com,PT,UI,Un,OD,AB
PART-III (SLL Cases),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arms Act,294,9,3,282,0,3,10,0,246,6,9,4,4,282,8,2,272,0,4,5,0,223,32,4,2,2,343,5,2,336,0,0,0,0,140,195,1,0,
Cow Slaughter,270,6,4,260,0,11,7,1,236,1,3,1,0,240,8,3,229,0,11,0,1,193,5,18,1,0,182,0,1,181,0,1,0,0,92,87,1,0,
Animal Sacrifice Act,343,18,1,324,0,48,5,0,244,0,24,3,0,327,12,2,313,0,44,4,0,234,7,23,0,1,359,9,2,348,0,18,1,1,165,153,10,0,
P.I.T Act,313,3,1,309,0,3,5,0,287,8,3,3,0,298,1,1,296,0,0,2,0,271,23,0,0,0,272,2,0,270,0,0,0,0,100,167,0,3,
POCSO,3903,56,174,3673,0,167,1665,5,1755,4,15,39,23,4079,65,204,3810,0,62,910,3,2748,15,18,32,22,3721,40,120,3561,0,4,104,0,2547,890,4,6,
K.P Act,1311,208,1,1102,0,496,34,8,533,4,6,17,4,517,48,0,469,0,175,12,3,263,5,4,6,1,427,3,0,424,0,70,1,2,271,74,4,0,
E.C Act,492,11,1,480,0,4,13,0,408,10,2,42,1,432,10,0,422,0,4,4,0,363,37,1,13,0,628,3,0,625,0,1,0,0,176,441,4,3,
SC/ST/Act,2156,388,38,1730,1,14,267,3,1314,67,8,48,9,2115,343,44,1728,0,4,118,2,1507,63,2,26,6,1936,142,15,1779,1,1,10,0,976,785,0,7,
Explosive Act,270,3,0,267,0,97,5,2,140,9,5,8,1,142,1,0,141,0,30,1,1,81,21,4,1,2,122,1,0,121,0,1,0,0,17,99,4,0,
N.D.P.S AcT,6767,16,0,6751,0,3472,97,19,3108,1,11,22,21,4188,11,4,4173,0,1783,24,10,2263,55,23,10,5,5146,23,1,5122,0,920,4,5,3003,1176,9,4,
TADA Act,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
PCR Act,13,2,0,11,0,0,1,1,9,0,0,0,0,4,2,0,2,0,0,0,0,1,1,0,0,0,5,0,0,5,0,0,0,0,2,3,0,0,
R.P.Act,338,58,7,273,0,91,7,2,135,1,18,17,2,134,20,0,114,0,23,1,0,56,12,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,
Children Act,369,70,14,285,0,38,18,1,213,3,5,7,0,403,54,19,330,0,27,5,3,256,30,5,4,0,361,24,15,322,0,5,1,0,146,166,1,3,
