Name of the unit,No. of cases,Name of the unit,No. of cases
Bengaluru City,3,Belagavi District,3
Bagalkot District,3,Ramanagara District,3
Belagavi City,1,Hubli-Dharwad City,1
Bengaluru District,1,Chamarajanagar District,1
Chikmagalur District,1,D.K. District,1
Hassan District,1,Kodagu District,1
