Sl. No.,Heads of Crime,"During the
current year
upto the end of
month under
review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
,Trust - Religious,0,0,0,0
,Others,3,2,2,0
,Sub Total,5,2,2,2
28,CRIMINAL TRESPASS (Sec.447 to 452 IPC),,,,
,Attempt to Commit,3,2,1,1
,Club,0,0,0,0
,Hostel,2,0,0,2
,Hotel,4,0,1,2
,House,176,45,59,62
,Land,375,81,134,109
,Office,10,7,3,4
,Prohibited Places,7,2,2,2
,Religious Place,4,1,1,1
,Restricted Area,4,3,0,2
,Others,68,14,25,19
,Sub Total,653,155,226,204
29,CRUELTY BY HUSBAND (Sec. 498(A) IPC),,,,
,Husband,293,72,91,118
,Husband And Relative(S) in Law,389,115,134,146
,Relative(S) in Law,6,2,4,1
,Dowry Harassment,152,25,61,53
,Prevention of Gaming,2,0,1,1
,Sub Total,842,214,291,319
30,DOWRY DEATHS (Sec.304(B) IPC),,,,
,By Husband,1,3,1,0
,By Husband And Relatives In Law,12,8,6,3
,By Relatives in Law,0,0,0,0
,By Burning,0,1,0,0
,By Hanging,13,5,6,4
,By Other Means,1,0,1,0
,Sub Total,27,17,14,7
31,"DEATHS DUE TO RASHNESS/NEGLIGENCE
(Sec.304(A) IPC)",,,,
,Electrocution,6,0,2,1
,Adulterated Food/Drug,0,0,0,0
,Accident by Air,0,0,0,0
,Boad Accident,0,0,0,0
,Bridge/Dam Collapse,0,0,0,0
,Building Collapse,2,1,0,1
,Caused By Animal,1,0,0,1
,Death Due to Other Cause,25,10,8,8
,Electrocution Accident,5,8,1,1
,Explosion Accident,0,0,0,0
,Fire accident,2,0,0,1
,Gas Leakage Accident,0,1,0,0
,Improper Infrastucture In Construction,19,5,7,5
,Improper Medical Treatment,3,0,1,1
,In Custody of Public Servant,0,0,0,0
,In Jail/Judicial Custody,1,0,0,1
,In Police Custody,0,0,0,0
,Industrial Accident (Factory),2,0,1,1
,Inflammable Substance,0,0,0,0
,Mine Accident,0,0,0,0
,Poisonous Substance,0,0,0,0
,Quarry Accident,1,0,0,1
,Spurious Liquor (Hooch) Accident,0,0,0,0
,Railway Accident,0,0,0,0
,Others,23,4,7,10
,Sub Total,90,29,27,32
32,"MOTOR VEHICLE ACCIDENTS FATAL
(Sec.304(A) IPC)",,,,
,National Highways,950,331,337,294
,State Highways,866,253,297,267
,Other Roads,1108,370,351,347
,Other Places,67,16,24,21
,Sub Total,2991,970,1009,929
