Sl. No.,Heads of Crime,"During the
current year upto
the end of month
under review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
35,CYBER CRIME,,,,
,"Information Technology Act 2000, 2009",4310,1047,1370,1615
,Sub Total,4310,1047,1370,1615
36,NATIONAL SECURITY ACT,0,0,0,0
37,POCSO,,,,
,Custodial Rape,0,1,0,0
,Gang Rape,2,1,0,1
,Rape with Murder,1,0,0,1
,Rape,484,198,143,168
,Others,200,77,67,65
,Sub Total,687,277,210,235
,Total (Item 1 to 36),15166,4581,4051,7331
C. CRIMES AGAINST WOMEN,,,,,
1,Rape (Sec. 376 IPC),,,,
,1.1 Custodial Rape,0,0,0,0
,1.2 Gang Rape,2,1,1,1
,1.3 other Cases of Rape,126,57,53,43
,Sub Total,128,58,54,44
2,Outraging modesty (Molestation) (sec.354 IPC),1442,547,441,540
3,Kidnapping & Abduction of Women: (Sec.366 IPC),32,14,14,11
4,"Insulting modesty (Eve-Teasing) (Sec.294 & 509 IPC
if victim is a woman)",27,6,7,13
5,Murder for Dowry - by burning (Sec.302 IPC),0,0,0,0
6,"Murder for Dowry - by other means
(Sec.302 IPC)",3,2,1,1
7,Murder for other reasons,101,40,34,38
8,"Attempt to Commit Murder for dowry by burning
(Sec.307 IPC)",0,0,0,0
9,"Attempt to Commit Murder for dowry by other
means (Sec.307 IPC)",15,4,8,5
10,Attempt to Commit murder for other reasons,206,73,62,79
11,"Dowry Death-by burning
(Sec.304-B IPC)",1,0,0,1
12,Dowry Death-by other Means (Sec.304(B) IPC),31,10,9,16
13,"Cruelty by Husband or Relatives of Husband
(Sec.498-A IPC)",655,278,215,236
14,Abetment of Suicide (Sec.306 IPC),39,11,15,14
15,Immoral Traffic (prevention) Act.,50,28,20,12
16,"Indecent Representation of Women(Prohibition) Act-
1986",0,0,0,0
17,Pornography,2,0,0,0
18,"Offences against Public Servants (Sec.182-188-333-
353 IPC)",25,11,7,14
19,Offences related to Marriage,11,2,5,0
20,Cyber Crimes,1528,258,487,610
,Total (Item 1 to 20),4296,1342,1379,1634
