DISTRICT-WISE REPORTED CASES UNDER VARIOUS HEADS FOR THE MONTH OF OCTOBER - 2025 (AS ON 03/11/2025),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sl.
No.",Crime Head,"ot
k
al
ag
B","ari
all
B","City
avi
ag
el
B","Dist
avi
ag
el
B","city
u
ur
al
ng
e
B","District
u
ur
al
ng
e
B","h
ut
o
S
u
ur
al
ng
e
B","ar
d
Bi","ar
ag
n
a
aj
ar
m
a
h
C","a
ur
p
a
all
b
k
hic
C","u
ur
al
ag
m
a
kk
hi
C","a
g
ur
d
a
hitr
C","a
d
a
n
n
a
k
a
n
hi
ks
a
D","e
er
ag
n
a
av
D","d
a
w
ar
h
D","ag
d
a
G","n
a
ass
H","eri
av
H","d
a
w
ar
D h City
alli
b
b
u
H","G.F
K.","agi
ur
b
a
al
K","City
agi
ur
b
a
al
K","ays
w
ail
R
a
k
a
at
n
ar
K","u
ag
d
o
K","ar
ol
K","al
p
p
o
K","a
dy
n
a
M","City
u
or
o
al
ng
a
M","City
u
ur
Mys","District
u
ur
Mys","ur
h
aic
R","a
g
g
o
m
a
v
hi
S","u
ur
k
a
m
u
T","pi
u
d
U","a
d
a
n
n
a
k
a
ar
Utt","a
ar
ag
n
a
ay
Vij","ur
p
a
ay
Vij","dgir
a
Y","al
ot
T"
1,MURDER,8,4,2,5,18,1,4,2,4,2,4,1,0,1,2,1,4,1,0,1,1,1,2,0,4,2,2,0,2,2,2,3,4,1,2,2,9,2,106
2,DACOITY,0,0,0,0,3,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,1,1,0,0,3,1,0,0,1,1,0,17
3,ROBBERY,0,1,0,4,29,5,2,0,0,0,0,0,2,3,0,1,0,0,2,0,0,1,2,0,0,0,0,0,0,3,0,4,1,0,1,0,2,0,63
3a,CHAIN SNATCHING,0,0,0,2,7,2,3,1,0,2,3,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,2,0,2,2,0,3,1,1,0,0,0,0,36
4a,BURGLARY - DAY,1,3,2,1,12,5,0,4,0,1,1,2,3,2,1,0,9,1,1,2,3,3,0,0,2,3,2,0,0,5,3,1,4,0,0,1,0,0,78
4b,BURGLARY - NIGHT,9,9,7,15,68,25,5,6,9,4,6,3,1,14,2,2,16,11,5,6,12,14,0,3,14,4,14,4,5,19,11,12,14,4,8,6,6,2,375
5,THEFT,20,20,19,27,744,106,26,17,20,25,19,37,11,48,7,23,20,42,11,10,41,15,50,11,20,22,37,35,27,22,42,43,53,26,7,12,28,18,1761
5a,SNATCHING,0,1,3,0,31,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,43
6,RIOTS,15,1,3,23,4,3,4,9,1,12,6,19,3,18,8,11,6,16,4,1,15,5,0,0,9,3,8,1,0,9,8,12,7,1,4,6,11,9,275
7,CASES OF HURT,16,19,14,36,325,51,35,43,33,28,56,49,19,31,14,10,58,18,7,25,37,16,2,24,27,9,76,11,20,63,21,65,61,6,23,11,30,18,1407
8,Spl & Local laws,129,277,88,206,1250,69,72,124,51,109,303,124,47,138,107,161,56,150,76,25,85,41,23,30,30,155,73,67,52,48,116,153,156,58,185,186,107,65,5192
9a,"RAPE (Sec.376,
376(A) to 376 (D)
IPC/64 TO 71 BNS)",1,1,0,4,11,1,1,0,0,1,2,3,0,1,0,0,1,2,1,0,1,0,0,0,1,1,1,2,2,0,2,2,3,1,1,0,2,1,50
9b,DOWRY DEATHS,1,0,0,1,3,1,0,0,0,1,2,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13
10,POCSO,4,1,3,11,47,8,4,5,8,13,8,13,8,9,2,5,9,6,3,2,5,3,1,9,8,8,8,5,7,9,9,19,23,2,4,10,7,14,320
11,SC ST & POA Act,11,1,1,10,23,7,7,3,5,4,5,9,6,7,2,4,9,10,6,1,3,2,0,1,3,1,6,2,3,3,9,8,19,4,4,6,6,5,216
12a,"107 Cr.P.C./126
BNSS",36,26,56,230,44,4,8,41,13,17,116,33,200,62,29,55,11,26,4,6,25,14,0,8,5,24,17,95,6,17,14,60,34,14,25,32,26,21,1454
12b,"109 Cr.P.C/128
BNSS",12,7,2,7,50,4,0,4,0,0,6,0,0,5,2,1,4,5,0,0,4,2,9,0,3,2,3,2,0,1,2,3,27,0,17,1,4,1,190
12c,"110 Cr.P.C/129
BNSS",2,0,22,11,155,0,0,6,0,0,39,1,11,4,11,6,0,21,3,1,3,3,2,0,0,1,1,29,117,1,6,0,35,5,3,1,19,6,525
13,"CYBER CRIME
(INFORMATION
TECHNOLOGY ACT)",4,7,10,6,836,33,24,6,5,15,17,7,14,8,8,4,5,9,16,3,2,1,0,5,8,2,12,13,19,10,4,21,27,13,3,2,24,1,1204
14a,Cr. Br. of Trust,1,1,1,1,37,2,0,1,0,1,,0,0,1,0,0,2,0,1,0,1,0,0,0,0,0,0,1,2,0,0,2,1,0,0,0,0,0,56
14b,CHEATING,5,13,7,9,234,23,8,5,4,3,7,12,10,15,1,6,9,4,4,2,4,3,0,3,8,7,5,12,7,7,6,8,14,15,12,7,6,3,508
14c,COUNTERFEITING,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
15,KMMC,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
15a,MMDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,4
16,"Motor vehicles
Theft Cases",11,10,12,17,384,63,12,9,11,7,6,19,1,19,2,3,11,18,6,6,9,11,6,2,15,6,15,11,19,11,11,22,26,2,3,4,11,4,815
17,NDPS Cases,3,8,42,4,76,3,0,5,1,4,66,8,3,13,0,2,1,3,0,3,4,6,18,5,4,1,8,34,5,2,2,19,12,13,39,4,0,2,423
