Name of the unit,No. of cases,Name of the unit,No. of cases
Bengaluru City,2,Chamarajanagar District,2
Chikkamagalur District,2,Mangalore City,1
Belgaum District,1,Chitradurga District,1
Davanagere District,1,Kalaburgi District,1
Kolar District,1,Mysore District,1
Shivamogga District,1,,
