Month,Year,Security Cases,,,Total
,,"107
Cr.PC/126
BNSS","109
Cr.PC/128
BNSS","110
Cr.PC/129
BNSS",
February,2025,1392,643,1037,3072
January,2025,1424,497,684,2605
February,2024,8574,740,5160,14414
