Sl. No.,Heads of Crime,"During the
current year
upto the end of
month under
review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
C. CRIMES AGAINST WOMEN,,,,,
1,Rape (Sec. 376 IPC),,,,
,1.1 Custodial Rape,0,0,0,0
,1.2 Gang Rape,7,2,1,1
,1.3 other Cases of Rape,246,61,53,56
,Sub Total,253,63,54,57
2,Outraging modesty (Molestation) (sec.354 IPC),2809,483,550,645
3,Kidnapping & Abduction of Women: (Sec.366 IPC),35,16,12,5
4,"Insulting modesty (Eve-Teasing) (Sec.294 & 509 IPC if
victim is a woman)",171,34,38,20
5,Murder for Dowry - by burning (Sec.302 IPC),0,0,0,0
6,"Murder for Dowry - by other means
(Sec.302 IPC)",3,0,1,1
7,Murder for other reasons,148,27,21,26
8,"Attempt to Commit Murder for dowry by burning
(Sec.307 IPC)",0,0,0,0
9,"Attempt to Commit Murder for dowry by other means
(Sec.307 IPC)",12,2,4,3
10,Attempt to Commit murder for other reasons,475,57,97,120
11,"Dowry Death-by burning
(Sec.304-B IPC)",1,0,0,0
12,Dowry Death-by other Means (Sec.304(B) IPC),60,6,15,10
13,"Cruelty by Husband or Relatives of Husband (Sec.498-
A IPC)",1257,232,280,323
14,Abetment of Suicide (Sec.306 IPC),85,11,14,21
15,Immoral Traffic (prevention) Act.,128,20,29,42
16,"Indecent Representation of Women(Prohibition) Act-
1986",0,0,0,0
17,Pornography,0,0,0,0
18,"Offences against Public Servants (Sec.182-188-333-
353 IPC)",58,8,12,10
19,Offences related to Marriage,11,3,3,3
20,Cyber Crimes,1208,384,212,226
,Total (Item 1 to 20),6714,1346,1342,1512
