Sl. No.,Heads of Crime,"During the
current year upto
the end of month
under review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
33,"MOTOR VEHICLE ACCIDENTS NON-FATAL
(Sec.279, 337, 338 IPC)",,,,
,National Highways,5183,807,928,846
,State Highways,3770,552,644,640
,Other Roads,6719,1004,1105,1197
,Other Places,247,36,38,44
,Sub Total,15919,2399,2715,2727
34,"DEATHS-MISCARRIAGE (Sec.312, 313, 314 IPC)",,,,
,Child,3,0,0,1
,Woman,1,0,0,1
,Women and Child,1,0,1,0
,Sub Total,5,0,1,2
35,"DEFENCE FORCES OFFENCES RELATING (also
relating to desertion) (Sec.131 to 140, except
136 IPC)",,,,
,Air Force,0,0,0,0
,Army,0,0,0,0
,Navy,0,0,0,0
,Sub Total,0,0,0,0
36,"ESCAPE FROM LAWFUL CUSTODY AND
RESISTANCE (Sec.224, 225, 225(B) IPC)",,,,
,From Jail Custody,5,0,1,1
,From Police Custody,15,1,4,3
,Others,8,0,0,0
,Sub Total,28,1,5,4
37,"IMPERSONATION (Sec.170, 171 IPC)",,,,
,Attempt to Commit,2,1,1,1
,Non-Uniformed Authority,3,0,4,3
,Uniformed Authority,2,0,0,0
,Sub Total,7,1,5,4
38,"MISCHIEF (Sec.427 to 440 except 434, 435,
436, 438 IPC)",213,32,30,42
39,MOLESTATION (Sec.354 IPC),,,,
,Attempt to Commit,49,15,5,11
,Private Place,520,92,75,119
,Public Conveyance,8,1,1,3
,Public Place,1052,172,171,212
,Other Places,1412,297,268,284
,Sub Total,3041,577,520,629
40,POISONING-PROFESSIONAL (Sec. 328 IPC),,,,
,Attempt to Commit,4,2,1,0
,Fatal,0,0,0,0
,Non Fatal,3,0,0,0
,Sub Total,7,2,1,0
41,PORNOGRAPHY (Sec.292 to 294 IPC),,,,
,Advertisement,0,0,0,0
,Audio Tape,0,0,0,0
,Book,0,0,0,0
,Computer Software,0,0,0,0
,Figures,0,0,0,0
,Film (Blue),0,0,0,0
,Painting,0,0,0,0
,Pamphlet,0,0,0,0
,Paper,0,0,0,0
,Photography,0,0,0,0
,Poster,0,0,0,0
,Video Film(Blue),1,0,0,0
,Others,8,0,1,0
,Sub Total,9,0,1,0
42,PUBLIC JUSTICE (Sec.213 to 215 IPC),0,1,0,0
43,PUBLIC NUISANCE (Sec.291 and 510 IPC),63,7,12,15
