Sl. No.,Heads of Crime,"During the
current year upto
the end of month
under review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
,A - IPC Crime,,,,
1,Murder (Sec.302/303 IPC),,,,
,For gain,17,3,0,1
,Over Property Dispute,11,1,1,2
,Due to Personal Vendetta or enemity,24,5,6,3
,Due to Sexual jealousy,14,1,2,2
,For dowry by burning,0,0,0,0
,For dowry by other means,2,1,0,0
,Due to Communalism,1,0,0,0
,Due to Casteism,3,1,0,0
,Witch Craft (Sorcery),0,0,0,0
,For Human Sacrifice,0,0,0,0
,Due to Terrorism/Naxalism / Extremism,0,0,0,0
,For Political Reasons,0,0,0,0
,Due to Adultery,18,1,1,2
,Civil Disputes,37,4,5,2
,Electoral Gain,0,0,0,0
,Gang Rivalry,1,0,0,0
,Love Intrigue,10,1,1,2
,Professional,1,0,0,1
,Psychopathic/Serial Killer/Lunacy,0,0,0,0
,Rape with Murder,9,1,1,1
,Revenge/Enemity,32,4,8,3
,Sudden Quarrel,76,2,11,3
,Village Dispute,0,0,0,0
,Custodial,0,0,0,0
,Due to Other Causes,627,62,78,80
,Sub Total,883,87,114,102
2,ATTEMPT TO MURDER (Sec. 307 IPC),,,,
,For Gain,20,4,4,5
,Over Property Dispute,46,7,4,5
,Due to Personal Vendetta or enemity,77,9,10,14
,Due to Sexual jealousy,13,1,1,0
,For Dowry other Means,33,7,3,5
,Dowry By Burning,0,0,0,0
,Due to Communalism,5,1,0,0
,Due to Casteism,3,1,0,1
,Witch Craft (Sorcery),0,0,0,0
,For Human Sacrifice,1,0,0,0
,Terrorism /Naxalism / Extremism,0,0,0,0
,For Political Reasons,23,2,2,5
,Adultery,6,1,0,0
,Electoral Gain,0,0,0,0
,Gang Rivalry,2,0,0,0
,Love Intrigue,14,3,1,2
,Professional,5,0,1,0
,Rape,0,0,0,0
,Revenge/Enemity,152,20,21,25
,Sudden Quarrel,180,30,28,25
,Village Dispute,5,1,1,1
,Due to Other Causes,1158,152,154,192
,Civil Disputes,212,21,31,32
,Sub Total,1955,260,261,312
