S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
75,KSRP PTS BELAGAVI,18,16,2,
76,KSRP Training Munirabad,14,11,3,
77,PDMS Yelahanka,29,3,26,
78,PTC Gulbarga,28,1,27,
79,PTS Aimangala,19,7,12,
80,PTS Dharwad,19,5,14,
81,PTS Hassan,19,1,18,
82,PTS Kaduru,16,0,16,
83,PTS Mysuru,21,3,18,
84,PTS Thanisandra,19,18,1,
85,RFSL Ballari,5,3,2,
86,RFSL Belgaum,10,5,5,
87,RFSL Davanagere,9,6,3,
88,RFSL Gulbarga,7,0,7,
89,RFSL Hubballi,5,0,5,
90,RFSL Mangalore,9,1,8,
91,RFSL Mysore,8,4,4,
92,SCRB,42,40,2,
93,Southern Range,7,4,3,
94,Special Task Force,8,0,8,
95,State Wireless,82,40,42,
96,TTI Bangalore,5,5,0,
97,Western Range,3,1,2,
,Grand Total,12799,8031,4768,
