Sl. No.,Heads of Crime,"During the
current year
upto the end of
month under
review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
35,CYBER CRIME (INFORMATION TECHNOLOGY ACT),,,,
,"Information Technology Act 2000, 2009",36,9,5,7
,CSAM (Child Pornography). Cyber Tip Line,86,1,12,33
,Online Money Transfer,704,105,128,141
,Credit Card Fraud,222,57,35,46
,Loan App,85,19,15,11
,"Ransomeware Attack, Installing Spyware & Troman,
Using Other Malware & Viruses to infect degital serv",8,0,3,0
,"Gifts, iPhone & Lottery Fraud",51,7,9,9
,Deep Fake/Deep Nudes,26,3,4,1
,"Investment Fraud (Part Time Job, Task, Review)",426,258,70,57
,Card Skimming,1,0,0,0
,Job Fraud,144,57,25,24
,Business Fraud,58,9,11,8
,Hacking of Accounts & Ids,113,20,26,27
,Phishing (Taking Password & Information),6,1,1,0
,Email Spoofing / Fraud,19,1,1,6
,SIM card Swapping / SIM Jacking / SIM Cloning,15,3,4,5
,"Social Media Cases
(Instagram/Facebook/Whatsapp/X /Telegram etc)",248,70,57,41
,"Crypto Currency, Bitcoin, etc.",32,6,4,6
,Remote Access Fraud (Any Desk/ Team Viewer),2,1,0,0
,OLX Fraud,50,16,7,6
,Data Theft,28,3,6,5
,Fedex,3,3,0,2
,"OTP Frauds (KYC Update, Apk Link)",555,45,110,97
,Matrimony Fraud,43,11,5,11
,Sextortion and Revenge Porn,32,6,9,2
,Advertising Frauds,42,3,5,9
,Investment Fraud (Trading & Share Trading),1097,265,173,141
,Fake Customer Care,192,27,40,30
,ATM Fraud,9,0,6,0
,Digital Arrest,68,27,15,7
,AEPS (Aadhaar),0,0,0,0
,Others,778,167,141,215
,Sub Total,5179,1200,927,947
36,NATIONAL SECURITY ACT,0,0,0,0
37,POCSO,,,,
,Gang Rape,3,5,1,0
,Custodial Rape,0,1,0,0
,Rape with Murder,0,0,0,0
,Rape,1516,290,326,295
,Others,552,97,118,111
,Sub Total,2071,393,445,406
38,Aadhar Act,,,,
,Impersonation,0,0,0,0
,Offence by Individual,2,0,0,1
,Offence by Company,1,0,0,0
,Sub Total,3,0,0,1
,Total (Item 1 to 36),29195,5425,5463,5563
