S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
1,Bagalkot,176,157,19,
2,Ballari,156,153,3,
3,Belagavi City,228,205,23,
4,Belagavi Dist,293,289,4,
5,Bengaluru City,"3,243","1,305",1938,
6,Bengaluru Dist,239,46,193,
7,Bidar,186,92,94,
8,Chamarajanagar,121,87,34,
9,Chickballapura,132,132,0,
10,Chikkamagaluru,204,123,81,
11,Chitradurga,192,78,114,
12,Coastal Security Police,56,10,46,
13,Dakshina Kannada,173,132,41,
14,Davanagere,197,95,102,
15,Dharwad,111,108,3,
16,Gadag,178,109,69,
17,Hassan,196,196,0,
18,Haveri,166,85,81,
19,Hubballi Dharwad City,246,108,138,
20,K.G.F,83,42,41,
21,Kalaburagi,214,78,136,
22,Kalaburagi City,185,60,125,
23,Karnataka Railways,98,49,49,
24,Kodagu,149,96,53,
25,Kolar,180,82,98,
26,Koppal,136,136,0,
27,Mandya,215,127,88,
28,Mangaluru City,248,76,172,
29,Mysuru City,264,100,164,
30,Mysuru Dist,191,107,84,
31,Raichur,176,162,14,
32,Ramanagara,185,78,107,
33,Shivamogga,218,155,63,
34,Tumakuru,286,98,188,
35,Udupi,144,115,29,
,,,,,
