Sl.No,District_Name,FIR Count,FIR eSign Count,FIR %
1,Belagavi District,552,552,100.00
2,Chikkamagaluru District,399,399,100.00
3,Dharwad District,175,175,100.00
4,K.G.F District,132,132,100.00
5,Koppal District,237,237,100.00
6,Mysuru City,291,291,100.00
7,Vijayanagara District,252,252,100.00
8,Mandya District,497,496,99.80
9,Udupi District,291,290,99.66
10,Bagalkot District,262,261,99.62
11,Gadag District,186,184,98.92
12,Vijayapur District,341,337,98.83
13,Yadgir District,208,205,98.56
14,Ballari District,301,295,98.01
15,Uttara Kannada District,285,278,97.54
16,Dakshina Kannada District,203,197,97.04
17,Chitradurga District,728,702,96.43
18,Bengaluru District,844,807,95.62
19,Tumakuru District,796,760,95.48
20,KODAGU(Madikeri) District,203,179,88.18
21,Chamarajanagar District,270,237,87.78
22,Mangalore COP,281,241,85.77
23,Bidar District,363,311,85.67
24,Bengaluru City,4981,4204,84.40
25,Haveri District,324,273,84.26
26,Kalaburagi City,194,159,81.96
27,Hassan District,636,517,81.29
28,Davanagere District,481,387,80.46
29,Hubballi Dharwad City,242,186,76.86
30,Belagavi City,205,150,73.17
31,Kolar District,280,203,72.50
32,SP Railways,113,81,71.68
33,Mysuru District,534,375,70.22
34,Raichur District,375,196,52.27
35,Chickballapura District,373,185,49.60
36,Shivamogga District,608,249,40.95
37,Ramanagara District,524,87,16.60
38,Kalaburagi District,334,50,14.97
Total,,18301,15120,82.62
