Name of the unit,No. of cases,Name of the unit,No. of cases
Belgavi District,4,Bengaluru City,3
Hassan District,3,Belgavi City,2
Bengaluru District,1,Chitradurga District,1
Kalaburgi District,1,Kodagu District,1
Koppal District,1,Raichur District,1
Ramanagar District,1,Udupi District,1
Vijayapura District,1,,
