Sl.No,District_Name,FIR Count,FIR eSign Count,FIR %
1,SP Railways,68,67,98.53
2,Vijayapur District,556,521,93.71
3,Bagalkot District,303,283,93.40
4,Uttara Kannada District,302,279,92.38
5,Chikkamagaluru District,354,324,91.53
6,Koppal District,277,250,90.25
7,Gadag District,204,180,88.24
8,Tumakuru District,817,696,85.19
9,Belagavi District,640,514,80.31
10,Chitradurga District,589,466,79.12
11,Dharwad District,181,140,77.35
12,Ballari District,381,273,71.65
13,Haveri District,395,276,69.87
14,Bidar District,427,295,69.09
15,Mandya District,519,356,68.59
16,Udupi District,281,184,65.48
17,Mysuru City,258,164,63.57
18,Davanagere District,520,330,63.46
19,Yadgir District,221,136,61.54
20,Ramanagara District,485,283,58.35
21,Dakshina Kannada District,177,103,58.19
22,Chamarajanagar District,346,189,54.62
23,Kalaburagi City,237,124,52.32
24,K.G.F District,115,58,50.43
25,Kolar District,265,126,47.55
26,Hassan District,571,250,43.78
27,Bengaluru District,868,359,41.36
28,Raichur District,443,178,40.18
29,Vijayanagara District,372,148,39.78
30,KODAGU(Madikeri) District,200,68,34.00
31,Hubballi Dharwad City,246,79,32.11
32,Bengaluru City,5348,1193,22.31
33,Mysuru District,609,119,19.54
34,Belagavi City,170,28,16.47
35,Chickballapura District,400,40,10.00
36,Mangalore COP,291,22,7.56
37,Kalaburagi District,324,21,6.48
38,Shivamogga District,717,33,4.60
Total,,19477,9155,47.00
