S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
36,Uttara Kannada,216,133,83,
37,Vijayanagara,147,147,0,
38,Vijayapur,188,188,0,
39,Yadgir,147,127,20,
40,Forest Cell,41,18,23,
41,CID,258,16,242,
42,ISD Bengaluru,92,38,54,
43,State INT,805,256,549,
44,APTS Yelahanka,19,0,19,
45,Battalion I - Bangalore,64,57,7,
46,Battalion II - Belgaum,40,39,1,
47,Battalion III - Bangalore,62,56,6,
48,Battalion IV - Bangalore,53,51,2,
49,Battalion IX - Bangalore,47,41,6,
50,Battalion V - Mysore,44,43,1,
51,Battalion VI - Gulbarga,38,32,6,
52,Battalion VII - Mangalore,37,35,2,
53,Battalion VIII - Shimoga,39,39,0,
54,Battalion X - Haveri,47,42,5,
55,Battalion XI - Hassan,43,38,5,
56,Battalion XII Tumakuru,46,46,0,
57,Central Range,3,0,3,
58,Centre for Counter Terrorism,67,3,64,
59,Chief Office,134,0,134,
60,COMMANDANT MOUNTED,KARP 23,2,21,
61,Eastern Range,3,1,2,
62,FPB Unit,15,0,15,
63,FSL Madiwala,20,5,15,
64,I.R.B. Vijayapura,49,46,3,
65,IGP TRAINING,11,0,11,
66,IIIrd BN KSISF,38,10,28,
67,IInd BN KSISF,36,10,26,
68,IRB Munirabad,49,35,14,
69,ISD,201,146,55,
70,Ist BN KSISF,58,3,55,
71,Kalaburgi Range,7,0,7,
72,KPA Mysore,37,7,30,
73,KSPTS Channapatna,23,3,20,
74,KSPTS Khanapur,20,5,15,
,,,,,
