Sl. No.,Heads of Crime,"During the
current year
upto the end of
month under
review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
52,"SUICIDE (Sec.305, 306, 309 IPC/107,108 BNS)",,,,
,Dowry,7,0,0,1
,Abetment of Suicide,369,37,36,39
,Other Reasons,243,24,17,12
,Attempt to Commit suicide,71,8,7,5
,Sub Total,690,69,60,57
53,UNNATURAL SEX (Sec.377 IPC/IN BNS Deleted),,,,
,Abetment,0,0,0,0
,Animal,0,0,0,0
,Attempt,0,0,0,0
,Major - Man,0,0,0,0
,Major - Woman,0,0,0,0
,Minor - Boy,0,0,0,0
,Minor - Girl,0,0,0,0
,Sub Total,0,0,0,0
54,"WRONGFUL RESTRAINT/CONFINEMENT
(Sec.341 to 348 IPC/126(2),127(2)-127(8) BNS)",,,,
,Attempt to Commit,29,0,1,2
,To Extort Confession,9,1,3,2
,To Extort Property,25,0,1,4
,To settle Dispute,17,2,2,1
,Others,372,22,23,22
,Sub Total,452,25,30,31
55,"INFANTICIDE (Sec.315, 316 IPC/91,92 BNS)",,,,
,Male,2,0,0,0
,Female,3,0,0,0
,Sub Total,5,0,0,0
56,"OFFENCES RELATED TO MARRIAGE (Sec.493
to 498 IPC/81,84 BNS)",36,6,0,3
57,"BUYING & SELLING MINOR FOR PROSTITUTION
(Sec.372, 373 IPC/98,99 BNS)",0,0,0,0
58,"DOCUMENTS & PROPERTY MARKS (Sec.483 to
489 IPC/346-350(2) BNS)",,,,
,Documents,1,0,0,0
,Property,2,0,0,1
,Sub Total,3,0,0,1
59,"DEFAMATION (Sec.500 to 502 IPC/350(2)-
356(4) BNS)",,,,
,Persons,1,1,0,0
,Printed Matter,1,0,0,0
,Others,2,0,0,0
,Sub Total,4,1,0,0
60,"ELECTION(Sec.171(E) to 171(1) IPC/173-177
BNS)",,,,
,Assembly,0,7,0,0
,Parliament,1,0,0,0
,Other Elected Bodies,4,0,0,0
,Sub Total,5,7,0,0
61,"SLAVERY (Sec.370, 371, 374 IPC/143,145,146
BNS)",,,,
,Man,0,1,0,0
,Woman,0,0,0,0
,Boy,5,3,1,1
,Girl,0,0,0,0
,Sub Total,5,4,1,1
62,"Attempting to commit offences (Sec.511 IPC/62
BNS)",,,,
,Attempting to commit offences,207,16,22,23
,Sub Total,207,16,22,23
63,ILLEGAL DETENTION (Sec.342 IPC/127(2) BNS),0,0,0,0
64,"FALSE EVIDENCE (Sec.191 to 205 IPC/227-242
BNS)",10,1,4,0
65,"EXPOSURE AND ABANDONMENT OF CHILD
(Sec.317 IPC/93 BNS)",,,,
,Boy,22,1,0,1
,Girl,37,4,5,2
,Sub Total,59,5,5,3
66,OF ABETMENT (Sec.107 to 120 IPC/45-60 BNS),19,0,2,1
67,"FAILURE TO APPEAR TO COURT (Sec.174A,
229A IPC/209,269 BNS)",,,,
,IPC 174 A/BNS 209,347,14,10,10
,IPC 229 A/BNS 269,984,69,30,23
,Sub Total,1331,83,40,33
