Sl. No.,Heads of Crime,"During the
current year
upto the end of
month under
review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
10,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO
460, 462 IPC/305,R/W 331(1) TO 331(8),
334(2) BNS)",,,,
,At Residential Premises,318,60,75,87
,On Highways,0,0,0,0
,In Trains,0,0,0,0
,At Banks,0,0,0,0
,At Commercial Places / Establishments,9,3,4,1
,In Other Places,9,8,1,3
,Temple Theft,3,2,1,0
,Sub Total,339,73,81,91
,Total Burglary (Burglary Day + Burglary Night),1572,398,372,404
11,"THEFT (Sec.379 to 389 IPC/303(2) TO 308(7)
BNS)",,,,
,Attempt to commit,16,3,5,1
,Of Automobiles - Of Tractors,35,6,12,5
,In Running Bus,44,0,11,13
,Of Snatching,207,0,70,61
,At ATM,10,0,2,3
,Of Sand,531,110,146,147
,Government Office,11,0,6,2
,Of Mines,24,2,2,11
,Communication And Elec. Wire,91,14,22,21
,Of Cattle,187,31,48,50
,Of Cycle,18,18,3,4
,Of Automobiles - Of Lorries/Trucks,42,5,14,10
,Of Automobiles - Of Buses,1,0,0,0
,Of Automobiles - Of Cars / Jeeps,72,11,15,16
,Of Automobiles - Of Two Wheelers,3055,833,781,760
,Of Automobies - of Three Wheelers,81,13,10,22
,Of Accessories of Motor Vehicle,90,29,16,22
,Govt. Vehicle,1,1,1,0
,"Electronic Goods (Radio, TV, VCR, Acs, Office
Automation Equipments)",333,109,88,86
,Of Fire Arms,3,1,2,0
,Of Explosives,0,0,0,0
,Of Cultural - Idols,2,0,0,2
,Of Cultural - Painting,0,0,0,0
,Of Cultrual - Others,77,22,17,19
,Cash,174,42,44,47
,Jewellery,555,166,129,142
,Other Items Not Included Above,579,116,149,131
,In Running Train,21,3,7,6
,Extortion,90,21,20,17
,House Theft,582,172,157,148
,Servant Theft,143,32,39,36
,Sub Total,7075,1760,1816,1782
12,"RIOTS (Sec.141 to 153 IPC/189(1) TO
189(6),191(1)TO 191(3), 190,192,195 BNS))",,,,
,Land Dispute,324,70,74,97
,Employee - Govt.,0,0,0,0
,Labour - Private Sector,0,0,0,0
,Labour - Public Sector,0,0,0,0
,Linguistic,0,0,0,0
,Political,3,2,2,1
,Regional,2,2,0,2
,Sectarian,0,0,0,0
,Students,1,0,1,0
,Tribal,0,0,0,0
,Due to Village Disputes,6,5,4,1
,Communal,2,0,0,1
,Industrial,2,0,0,2
,Caste,2,1,1,0
,Agrarian,0,1,0,0
,Others,784,259,212,191
,Sub Total,1126,340,294,295
