Sl. No.,Heads of Crime,"During the
current year upto
the end of month
under review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
10,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO
460, 462 IPC)",,,,
,At Residential Premises,336,74,59,73
,On Highways,1,0,0,0
,In Trains,0,0,0,0
,At Banks,0,0,0,0
,At Commercial Places / Establishments,18,3,6,2
,In Other Places,18,5,3,4
,Temple Theft,13,1,2,2
,Sub Total,386,83,70,81
,Total Burglary (Burglary Day + Burglary Night),2095,472,339,472
11,THEFT (Sec.379 to 389 IPC),,,,
,Of sand,423,114,87,86
,Attempt to commit,15,5,1,2
,At ATM,3,0,1,0
,Of Automobiles - Of Tractors,61,6,16,11
,Communication And Elec. Wire,87,21,8,12
,Of Cattle,117,39,14,26
,Of Cycle,36,20,7,2
,Of Automobiles - Of Lorries/Trucks,52,17,10,8
,Of Automobiles - Of Buses,4,1,0,0
,Of Automobiles - Of Cars / Jeeps,89,31,14,16
,Of Automobiles - Of Two Wheelers,4185,979,827,887
,Of Automobies - of Three Wheelers,91,19,11,13
,Of Accessories of Motor Vehicle,84,29,24,9
,Govt. Vehicle,0,0,0,0
,"Electronic Goods (Radio, TV, VCR, Acs, Office
Automation Equipments)",569,145,100,119
,Of Fire Arms,4,0,4,0
,Of Explosives,1,0,0,0
,Of Cultural - Idols,1,0,1,0
,Of Cultural - Painting,1,0,0,0
,Of Cultrual - Others,89,20,9,15
,Cash,230,42,38,68
,Jewellery,504,96,93,108
,Other Items Not Included Above,599,140,95,96
,In Running Train,29,3,12,5
,Extortion,72,13,11,16
,House Theft,714,107,142,198
,Servant Theft,142,27,29,26
,Sub Total,8202,1874,1554,1723
12,RIOTS (Sec.141 to 153 IPC),,,,
,Land Dispute,431,99,79,84
,Employee - Govt.,1,0,0,1
,Labour - Private Sector,2,0,0,0
,Labour - Public Sector,1,0,0,0
,Linguistic,2,0,1,0
,Political,60,1,12,39
,Regional,2,1,0,1
,Sectarian,0,0,0,0
,Students,1,0,0,0
,Tribal,1,0,1,0
,Due to Village Disputes,8,3,2,2
,Communal,0,2,0,0
,Industrial,2,1,0,0
,Caste,4,1,1,0
,Agrarian,2,0,1,0
,Others,1066,243,197,252
,Sub Total,1583,351,294,379
13,"OFFENCES AGAINST STATE (Sec. 121 to 130,
except 124(A) IPC)",0,0,0,0
14,"OFFENCES PROMOTING ENEMITY (Sec. 153(A),
154(B) & 505 IPC",30,4,7,16
15,CRIMINAL BREACH OF TRUST,176,30,38,22
