S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
36,Uttara Kannada,230,216,14,
37,Vijayanagara,140,138,2,
38,Vijayapur,238,238,0,
39,Yadgir,148,61,87,
40,Forest Cell,48,28,20,
41,CID,274,59,215,
42,ISD Bengaluru,87,59,28,
43,State INT,886,557,329,
44,APTS Yelahanka,19,7,12,
45,Ballari Range,1,1,0,
46,Battalion I - Bangalore,65,40,25,
47,Battalion II - Belgaum,41,17,24,
48,Battalion III - Bangalore,63,60,3,
49,Battalion IV - Bangalore,48,1,47,
50,Battalion IX - Bangalore,42,39,3,
51,Battalion V - Mysore,47,45,2,
52,Battalion VI - Gulbarga,41,39,2,
53,Battalion VII - Mangalore,39,39,0,
54,Battalion VIII - Shimoga,44,7,37,
55,Battalion X - Haveri,48,43,5,
56,Battalion XI - Hassan,52,41,11,
57,Battalion XII Tumakuru,48,15,33,
58,Central Range,6,0,6,
59,Centre for Counter Terrorism,59,5,54,
60,Chief Office,140,5,135,
61,COMMANDANT MOUNTED,KARP 25,22,3,
62,Eastern Range,4,4,0,
63,FPB Unit,24,1,23,
64,FSL Madiwala,20,9,11,
65,I.R.B. Vijayapura,47,15,32,
66,IGP Railways,3,3,0,
67,IGP TRAINING,12,1,11,
68,IIIrd BN KSISF,40,20,20,
69,IInd BN KSISF,36,35,1,
70,IRB Munirabad,52,45,7,
71,ISD,188,106,82,
72,Ist BN KSISF,55,54,1,
73,Kalaburgi Range,8,3,5,
74,KPA Mysore,34,31,3,
,,,,,
