Sl. No.,Heads of Crime,"During the
current year upto
the end of month
under review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
10,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO
460, 462 IPC)",,,,
,At Residential Premises,940,73,75,80
,On Highways,2,0,1,0
,In Trains,0,0,0,0
,At Banks,3,0,1,1
,At Commercial Places / Establishments,36,5,0,5
,In Other Places,67,7,6,6
,Temple Theft,26,7,2,0
,Sub Total,1074,92,85,92
,Total Burglary (Burglary Day + Burglary Night),5468,478,542,473
11,THEFT (Sec.379 to 389 IPC),,,,
,Of sand,1164,79,112,97
,Attempt to commit,58,2,6,7
,At ATM,11,0,2,2
,Of Automobiles - Of Tractors,144,14,10,12
,Communication And Elec. Wire,246,16,25,22
,Of Cattle,386,32,45,29
,Of Cycle,130,8,12,12
,Of Automobiles - Of Lorries/Trucks,136,8,12,9
,Of Automobiles - Of Buses,9,0,0,2
,Of Automobiles - Of Cars / Jeeps,272,24,30,23
,Of Automobiles - Of Two Wheelers,11385,869,1146,1036
,Of Automobies - of Three Wheelers,270,28,24,21
,Of Accessories of Motor Vehicle,251,21,30,28
,Govt. Vehicle,1,0,1,0
,"Electronic Goods (Radio, TV, VCR, Acs, Office
Automation Equipments)",1706,128,179,128
,Of Fire Arms,7,0,1,0
,Of Explosives,2,0,0,0
,Of Cultural - Idols,5,1,0,1
,Of Cultural - Painting,4,1,2,0
,Of Cultrual - Others,268,21,32,37
,Cash,618,47,55,58
,Jewellery,1324,80,137,152
,Other Items Not Included Above,1949,159,253,219
,In Running Train,59,4,7,5
,Extortion,207,18,25,16
,House Theft,1976,128,215,166
,Servant Theft,391,24,32,37
,Sub Total,22979,1712,2393,2119
12,RIOTS (Sec.141 to 153 IPC),,,,
,Land Dispute,1013,70,91,78
,Employee - Govt.,1,0,0,0
,Labour - Private Sector,3,0,0,1
,Labour - Public Sector,2,0,0,0
,Linguistic,4,1,1,1
,Political,69,5,0,1
,Regional,4,1,1,0
,Sectarian,0,0,0,0
,Students,6,0,1,0
,Tribal,1,0,0,0
,Due to Village Disputes,15,2,0,3
,Communal,5,0,0,1
,Industrial,4,2,0,0
,Caste,5,0,0,0
,Agrarian,2,0,0,0
,Others,2419,187,238,199
,Sub Total,3553,268,332,284
13,"OFFENCES AGAINST STATE (Sec. 121 to 130,
except 124(A) IPC)",0,0,0,0
14,"OFFENCES PROMOTING ENEMITY (Sec. 153(A),
154(B) & 505 IPC",94,2,17,10
15,CRIMINAL BREACH OF TRUST,455,35,39,47
