"Comparitive Crime Statement 17 for the Years 2021, 2022, and 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KARNATAKA STATE,2021,,,,,,,,,,,,,2022,,,,,,,,,,,,,2023 As on 30/04/2023,,,,,,,,,,,,
Head Name,Rep,Fal,Tr,Tru,NI,Con,"Dis/
ACQ",Com,PT,UI,Un,OD,AB,Rep,Fal,Tr,Tru,NI,Con,"Dis/
ACQ",Com,PT,UI,Un,OD,AB,Rep,Fal,Tr,Tru,NI,Con,"Dis/
ACQ",Com,PT,UI,Un,OD,AB
PART-I (IPC Cases),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murder,1349,62,28,1260,0,6,46,0,1063,63,38,2,42,1379,44,33,1302,0,0,6,0,1111,154,2,2,27,441,0,7,434,0,0,0,0,80,353,0,0,
Attempt to murder,2457,151,9,2297,0,9,78,7,2066,81,34,6,16,2886,98,8,2780,0,2,19,6,1790,941,9,12,1,913,7,1,905,0,0,0,0,98,807,0,0,
C.H.Not Amounting to murder,88,8,0,80,0,0,4,0,67,7,0,0,2,92,8,2,82,0,0,0,0,49,32,0,0,1,19,0,0,19,0,0,0,0,2,17,0,0,
Dacoity,180,18,3,159,0,0,2,0,125,22,10,0,0,222,12,4,206,0,0,0,0,119,83,4,0,0,60,0,0,60,0,0,0,0,5,55,0,0,
Preparation And Assembly For Dacoity,389,0,0,389,0,1,4,0,378,5,1,0,0,293,0,0,293,0,0,2,0,259,32,0,0,0,43,0,0,43,0,0,0,0,11,32,0,0,
Robbery,979,30,22,927,0,2,14,1,700,60,149,0,1,1069,29,11,1029,0,1,4,3,607,372,38,4,0,325,2,1,322,0,0,0,0,45,277,0,0,
Chain Snatching,664,13,5,646,0,1,8,0,449,45,143,0,0,668,3,8,657,0,0,2,1,364,256,33,1,0,198,2,1,195,0,0,0,0,15,180,0,0,
H.B.T by day,804,26,2,776,0,7,9,1,371,43,342,1,2,992,25,0,967,0,1,2,0,310,458,194,2,0,302,1,0,301,0,0,0,0,13,288,0,0,
H.B.T by night,4015,39,3,3973,0,25,23,6,1538,208,2167,2,4,4433,30,3,4400,0,8,4,2,1145,2075,1163,2,1,1314,4,0,1310,0,0,0,0,54,1253,3,0,
House theft,914,51,2,861,0,4,10,5,371,16,451,3,1,1293,55,1,1237,0,3,3,3,340,360,527,1,0,514,6,0,508,0,0,0,0,30,472,5,1,
Ordinary Theft,15908,369,199,15340,0,313,205,1567,4338,283,8507,112,15,19462,404,294,18764,0,166,75,956,4648,5449,7368,95,7,5878,45,46,5787,0,1,1,7,275,5371,130,2,
Cattle thefts,412,5,3,404,0,4,4,20,176,19,179,2,0,478,8,1,469,0,1,5,8,141,178,132,2,2,91,0,0,91,0,0,0,0,2,89,0,0,
Receiving stolen Property,1,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cheating,5423,1471,151,3801,0,11,9,68,1830,1337,460,74,12,6409,1083,138,5188,0,8,7,23,1073,3795,245,32,5,1980,51,27,1902,0,0,0,0,34,1864,2,2,
Cr.Br.Trust,478,125,9,344,0,0,1,4,164,154,13,8,0,461,63,7,391,0,0,0,1,86,295,4,5,0,153,1,0,152,0,0,0,0,3,149,0,0,
C.C.Notes,33,0,0,33,0,0,0,0,17,2,14,0,0,29,0,0,29,0,0,0,0,7,14,8,0,0,4,0,0,4,0,0,0,0,3,1,0,0,
Sub Total - PART-I,34094,2368,436,31291,0,383,417,1679,13654,2345,12508,210,95,40168,1862,510,37796,0,191,129,1003,12049,14495,9727,158,44,12235,119,83,12033,0,1,1,7,670,11208,140,5,
PART-II (IPC Cases),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"304(A),IPC",9866,94,18,9754,2,311,394,12,7084,92,821,10,1030,11295,57,18,11220,2,139,76,5,7244,2512,479,5,760,3857,6,7,3844,0,1,0,0,336,3474,2,1,
"279,337,338 IPC",25197,196,17,24984,0,13780,211,249,9681,135,823,31,74,28932,168,20,28744,0,9412,111,195,14375,3962,635,20,34,10561,6,2,10553,0,281,2,4,1724,8538,4,0,
Rioting,3971,352,5,3614,2,9,262,46,3149,109,25,11,3,3935,233,9,3693,0,5,45,14,2284,1326,16,3,0,1203,8,1,1194,0,0,0,0,65,1129,0,0,
Hurts,13322,670,16,12637,1,68,1206,342,10661,124,186,25,25,15315,597,21,14697,0,32,344,175,11176,2827,117,15,11,5332,34,4,5294,0,2,1,4,717,4565,3,1,
Acid Attack (326(a)),2,1,0,1,0,0,0,0,0,0,1,0,0,7,1,0,6,0,0,0,0,6,0,0,0,0,2,0,0,2,0,0,0,0,1,1,0,0,
Kidnapping,2778,2377,39,362,1,2,23,1,181,129,25,1,0,3286,2540,37,709,0,1,9,1,179,504,11,2,1,1141,244,6,891,0,0,0,0,12,879,0,0,
304(B) IPC,157,5,0,152,0,0,9,0,141,1,0,0,1,162,9,1,152,0,0,0,0,131,21,0,0,0,44,0,0,44,0,0,0,0,9,35,0,0,
498 (A) IPC,2291,213,60,2018,0,3,202,17,1735,44,0,11,6,2793,155,55,2583,0,4,37,7,1851,676,0,4,4,890,10,8,872,0,0,0,0,86,783,0,3,
354 IPC Molestation,4915,400,26,4490,0,12,286,30,4007,115,20,10,10,5868,361,24,5483,1,1,79,12,3817,1545,22,6,1,1901,17,3,1881,0,0,1,1,168,1710,1,0,
Rape,556,26,29,501,0,1,29,0,444,14,3,8,2,537,29,30,478,0,0,3,0,381,91,0,3,0,176,1,6,169,0,0,0,0,27,142,0,0,
353 IPC,1111,47,3,1061,0,18,19,0,940,48,31,3,2,994,22,0,972,0,7,2,1,622,336,3,0,1,336,0,0,336,0,0,0,0,29,306,0,1,
Other IPC,15764,1183,51,14530,0,4895,266,317,7787,639,522,59,45,14094,851,68,13176,0,3503,56,209,5801,3223,336,33,15,7977,31,12,7934,0,706,0,24,2029,5170,3,1,
Sub Total - PART-II,79930,5564,264,74104,6,19099,2907,1014,45810,1450,2457,169,1198,87218,5023,283,81913,3,13104,762,619,47867,17023,1619,91,827,33420,357,49,33014,0,990,4,33,5203,26732,13,7,
