Sl. No.,Heads of Crime,"During the
current year
upto the end of
month under
review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
D.CRIME AGAINST CHILDREN,,,,,
1,"Infanticide/ Foeticide
(Sec. 315 & 316 IPC)",0,0,0,0
2,Rape on Minor,0,0,0,0
3,Exposure & abandonment (Sec. 317 IPC),35,6,7,7
4,Kidnapping & Abduction of Children,2238,315,348,303
4.1,For Ransom - of Children,6,1,2,0
4.2,of Children - for begging,0,0,0,0
4.3,of Girls - Immoral Purpose,0,0,0,0
4.4,With intent to Steal from Child,0,0,0,0
4.5,Lawful Guardianship,2,0,1,2
4.6,Procuration of Minor Girls - For Prostitution,0,0,0,0
4.7,Procuration of Minor Girls - Importing of Girl,0,0,0,0
4.8,Procuration of Minor Girls - For Other Purposes,12,0,0,1
,Sub Total,2258,316,351,306
5,Selling of girls for Prostitution (Sec.372 IPC),0,0,0,0
6,The Prohibition of Child Marriage Act - 2006,101,20,21,28
7,POCSO Act,2342,339,318,285
8,Death of Children due to miscarriage,20,1,5,2
9,Juvenile Justice Act,90,7,10,7
10,Child Labour (Pro.& Reg.) Act,56,11,19,7
11,Probation of Offenders Act,0,0,0,0
,Total (Item 1 to 11),4902,700,731,642
