Sl. No.,Heads of Crime,"During the
current year
upto the end of
month under
review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
51,"SUICIDE (Sec.305, 306, 309 IPC/107,108 BNS)",,,,
,Dowry,1,0,0,1
,Abetment of Suicide,59,24,33,26
,Other Reasons,60,28,29,31
,Attempt to Commit suicide,16,7,10,6
,Sub Total,136,59,72,64
52,UNNATURAL SEX (Sec.377 IPC/IN BNS Deleted),,,,
,Abetment,0,0,0,0
,Animal,0,0,0,0
,Attempt,0,0,0,0
,Major - Man,0,0,0,0
,Major - Woman,0,0,0,0
,Minor - Boy,0,0,0,0
,Minor - Girl,0,0,0,0
,Sub Total,0,0,0,0
53,"WRONGFUL RESTRAINT/CONFINEMENT
(Sec.341 to 348 IPC/126(2),127(2)-127(8) BNS)",,,,
,Attempt to Commit,4,0,2,2
,To Extort Confession,0,1,0,0
,To Extort Property,4,2,1,3
,To settle Dispute,4,2,1,3
,Others,69,30,37,32
,Sub Total,81,35,41,40
54,"INFANTICIDE (Sec.315, 316 IPC/91,92 BNS)",,,,
,Male,2,0,1,1
,Female,0,0,0,0
,Sub Total,2,0,1,1
55,"OFFENCES RELATED TO MARRIAGE (Sec.493
to 498 IPC/81,84 BNS)",7,6,4,3
56,"BUYING & SELLING MINOR FOR
PROSTITUTION (Sec.372, 373 IPC/98,99 BNS)",0,0,0,0
57,"DOCUMENTS & PROPERTY MARKS (Sec.483 to
489 IPC/346-350(2) BNS)",,,,
,Documents,0,0,0,0
,Property,0,0,0,0
,Sub Total,0,0,0,0
58,"DEFAMATION (Sec.500 to 502 IPC/350(2)-
356(4) BNS)",,,,
,Persons,0,0,0,0
,Printed Matter,0,0,0,0
,Others,0,1,0,0
,Sub Total,0,1,0,0
59,"ELECTION(Sec.171(E) to 171(1) IPC/173-177
BNS)",,,,
,Assembly,0,0,0,0
,Parliament,0,1,0,0
,Other Elected Bodies,0,3,0,0
,Sub Total,0,4,0,0
60,"SLAVERY (Sec.370, 371, 374 IPC/143,145,146
BNS)",,,,
,Man,0,0,0,0
,Woman,0,0,0,0
,Boy,0,0,0,0
,Girl,0,0,0,0
,Sub Total,0,0,0,0
61,"Attempting to commit offences (Sec.511
IPC/62 BNS)",,,,
,Attempting to commit offences,34,20,13,21
,Sub Total,34,20,13,21
62,ILLEGAL DETENTION (Sec.342 IPC/127(2) BNS),1,0,0,1
63,"FALSE EVIDENCE (Sec.191 to 205 IPC/227-242
BNS)",1,1,1,0
64,"EXPOSURE AND ABANDONMENT OF CHILD
(Sec.317 IPC/93 BNS)",,,,
,Boy,2,4,2,0
,Girl,4,1,3,1
,Sub Total,6,5,5,1
65,OF ABETMENT (Sec.107 to 120 IPC/45-60 BNS),4,1,2,2
66,"FAILURE TO APPEAR TO COURT (Sec.174A,
229A IPC/209,269 BNS)",,,,
,IPC 174 A/BNS 209,35,8,16,19
,IPC 229 A/BNS 269,154,34,83,71
