Name of the unit,No. of cases,Name of the unit,No. of cases
Raichur District,3,Tumakuru District,2
Bengaluru City,1,Hubli-Dharwad City,1
Chikkaballapura District,1,Koppal District,1
Vijayapura District,1,Mandya District,1
