DISTRICT-WISE REPORTED CASES UNDER VARIOUS HEADS FOR THE MONTH OF APRIL - 2024 (AS ON 07/05/2024),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sl.
No.",Crime Head,"to
k
la
g
a
B","ira
lla
B","y
tiC
iv
a
g
a
le
B","tsiD
iv
a
g
a
le
B","y
tic
u
ru
la
g
n
e
B","tcirtsiD
u
ru
la
g
n
e
B","ra
d
iB","ra
g
a
n
a
ja
ra
m
a
h
C","a
ru
p
a
lla
b
k
cih
C","u
ru
la
g
a
m
a
k
k
ih
C","a
g
ru
d
a
rtih
C","a
d
a
n
n
a
k
a
n
ih
sk
a
D","e
re
g
a
n
a
v
a
D","d
a
w
ra
h
D","g
a
d
a
G","n
a
ssa
H","ire
v
a
H","y
tiC
d
a
w
ra
h
D
illa
b
b
u
H","F
.G
.K","ig
a
ru
b
a
la
K","y
tiC
ig
a
ru
b
a
la
K","sy
a
w
lia
R
a
k
a
ta
n
ra
K","u
g
a
d
o
K","ra
lo
K","la
p
p
o
K","a
y
d
n
a
M","y
tiC
u
ro
o
la
g
n
a
M","y
tiC
u
ru
sy
M","tcirtsiD
u
ru
sy
M","ru
h
cia
R","a
ra
g
a
n
a
m
a
R","a
g
g
o
m
a
v
ih
S","u
ru
k
a
m
u
T","ip
u
d
U","a
d
a
n
n
a
k
a
ra
ttU","a
ra
g
a
n
a
y
a
jiV","ru
p
a
y
a
jiV","rig
d
a
Y","la
to
T"
1,MURDER,5,0,1,6,20,4,0,0,5,4,1,0,4,3,0,6,4,2,0,2,3,2,3,2,3,7,0,1,5,4,5,4,5,0,2,0,5,4,122
2,DACOITY,1,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,12
3,ROBBERY,1,0,2,0,63,2,2,0,0,0,2,2,3,1,0,0,0,0,0,1,3,3,1,1,0,0,1,3,0,1,3,3,0,3,0,0,0,0,101
3a,CHAIN SNATCHING,0,0,1,0,14,2,0,0,1,0,5,1,1,0,0,0,2,1,0,1,0,2,0,0,0,1,0,2,0,0,1,6,6,0,3,0,1,0,51
4a,BURGLARY - DAY,1,0,0,3,14,8,1,0,8,1,1,2,3,0,1,2,3,2,0,3,0,0,1,1,1,5,3,1,2,0,2,1,5,0,2,0,1,0,78
4b,BURGLARY - NIGHT,2,8,4,14,74,20,8,7,7,7,7,3,11,2,0,6,9,5,3,8,2,0,9,5,9,6,1,2,9,3,11,11,17,2,9,4,5,5,315
5,THEFT,20,31,19,34,761,108,21,8,16,21,35,12,30,9,13,29,23,15,5,48,34,72,11,12,17,28,17,27,31,42,42,32,55,18,14,16,27,12,1765
6,RIOTS,2,17,2,19,7,9,21,7,16,8,26,0,17,8,10,11,15,2,2,12,5,0,0,14,5,3,0,1,23,11,5,21,7,4,8,8,15,11,352
7,CASES OF HURT,14,14,19,37,371,59,36,36,55,47,60,20,29,12,10,100,16,17,13,21,16,2,29,40,9,61,16,31,85,17,65,66,79,26,24,17,21,16,1606
8,Spl & Local laws,67,126,38,138,1675,147,96,80,91,80,239,32,125,54,74,141,86,90,67,101,26,25,33,51,79,75,95,60,57,158,76,134,179,35,56,91,87,50,4914
