Sl.No,District_Name,FIR Count,FIR eSign Count,FIR %
1,Dharwad District,142,138,97.18
2,Vijayapur District,451,434,96.23
3,Koppal District,276,264,95.65
4,Bagalkot District,264,241,91.29
5,K.G.F District,90,80,88.89
6,Ballari District,313,275,87.86
7,SP Railways,65,56,86.15
8,Yadgir District,220,188,85.45
9,Chikkamagaluru District,456,384,84.21
10,Vijayanagara District,359,295,82.17
11,Uttara Kannada District,414,339,81.88
12,Belagavi City,209,169,80.86
13,Belagavi District,705,556,78.87
14,Chitradurga District,500,393,78.60
15,Mysuru City,300,235,78.33
16,Bengaluru South District,397,292,73.55
17,Hubballi Dharwad City,213,150,70.42
18,Raichur District,363,244,67.22
19,Mandya District,552,319,57.79
20,Tumakuru District,742,406,54.72
21,Udupi District,239,112,46.86
22,Dakshina Kannada District,195,78,40.00
23,Kalaburagi City,228,82,35.96
24,Gadag District,165,59,35.76
25,Kolar District,273,83,30.40
26,Chamarajanagar District,245,68,27.76
27,Bengaluru City,5147,1203,23.37
28,Bengaluru District,716,161,22.49
29,Haveri District,348,69,19.83
30,Chickballapura District,327,48,14.68
31,Hassan District,510,65,12.75
32,Bidar District,374,34,9.09
33,Davanagere District,464,42,9.05
34,Mysuru District,536,48,8.96
35,Mangalore COP,306,22,7.19
36,Kalaburagi District,340,9,2.65
37,Shivamogga District,701,2,0.29
38,KODAGU(Madikeri) District,199,0,0.00
Total,,18344,7643,41.66
