S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
75,KSPTS Channapatna,23,13,10,
76,KSPTS Khanapur,20,4,16,
77,KSRP PTS BELAGAVI,16,15,1,
78,KSRP Training Munirabad,12,10,2,
79,PDMS Yelahanka,24,5,19,
80,PTC Gulbarga,27,5,22,
81,PTS Aimangala,20,11,9,
82,PTS Dharwad,18,5,13,
83,PTS Hassan,19,0,19,
84,PTS Kaduru,17,1,16,
85,PTS Mysuru,21,8,13,
86,PTS Thanisandra,20,6,14,
87,RFSL Ballari,5,3,2,
88,RFSL Belgaum,10,0,10,
89,RFSL Davanagere,8,5,3,
90,RFSL Gulbarga,7,1,6,
91,RFSL Hubballi,5,0,5,
92,RFSL Mangalore,9,3,6,
93,RFSL Mysore,8,1,7,
94,SCRB,38,35,3,
95,Southern Range,6,2,4,
96,SP DCRE Bengaluru City,2,1,1,
97,SP DCRE Eastern Range,4,0,4,
98,SP DCRE Northern Range,3,1,2,
99,SP DCRE Southern Range,1,0,1,
100,SP DCRE Western Range,1,0,1,
101,Special Task Force,2,2,0,
102,State Wireless,83,44,39,
103,TTI Bangalore,3,3,0,
104,Western Range,3,1,2,
,Grand Total,12330,8271,4059,
