DISTRICT-WISE REPORTED CASES UNDER VARIOUS HEADS FOR THE MONTH OF MARCH - 2024 (AS ON 06/04/2024),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sl.
No.",Crime Head,"ot
k
al
g
a
B","ari
all
B","y
Cit
vi
a
g
a
el
B","Dist
vi
a
g
a
el
B","y
cit
u
ur
al
g
n
e
B","District
u
ur
al
g
n
e
B","ar
d
Bi","ar
g
a
n
a
aj
ar
m
a
h
C","a
ur
p
a
all
b
k
hic
C","u
ur
al
g
a
m
a
k
k
hi
C","a
g
ur
d
a
hitr
C","a
d
a
n
n
a
k
a
n
hi
ks
a
D","e
er
g
a
n
a
v
a
D","d
a
w
ar
h
D","g
a
d
a
G","n
a
ass
H","eri
v
a
H","y
Cit
d
a
w
ar
h
D
alli
b
b
u
H","F
G.
K.","gi
a
ur
b
a
al
K","y
Cit
gi
a
ur
b
a
al
K","ys
a
w
ail
R
a
k
a
at
n
ar
K","u
g
a
d
o
K","ar
ol
K","al
p
p
o
K","a
y
d
n
a
M","y
Cit
u
or
o
al
g
n
a
M","y
Cit
u
ur
ys
M","District
u
ur
ys
M","ur
h
aic
R","a
ar
g
a
n
a
m
a
R","a
g
g
o
m
a
v
hi
S","u
ur
k
a
m
u
T","pi
u
d
U","a
d
a
n
n
a
k
a
ar
Utt","a
ar
g
a
n
a
y
a
Vij","ur
p
a
y
a
Vij","gir
d
a
Y","al
ot
T"
1,MURDER,3,3,2,4,17,6,2,2,4,0,1,1,3,4,2,4,2,2,1,3,3,0,1,1,2,1,1,2,2,3,2,5,4,2,3,2,3,3,106
2,DACOITY,0,0,0,1,4,3,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,1,1,1,0,0,0,0,18
3,ROBBERY,1,0,1,3,69,2,1,0,0,0,1,2,4,1,0,6,0,0,0,2,3,0,0,2,1,1,0,1,1,1,2,4,4,2,1,1,0,0,117
3a,CHAIN SNATCHING,1,1,3,0,18,3,0,2,0,0,2,1,0,0,0,2,0,1,0,0,0,4,0,1,0,2,0,2,2,0,3,0,11,1,3,0,0,0,63
4a,BURGLARY - DAY,2,1,1,3,14,7,2,0,1,3,1,0,5,2,2,4,1,2,0,0,3,0,7,1,0,2,0,0,2,1,3,2,3,1,0,0,4,0,80
4b,BURGLARY - NIGHT,5,9,6,7,71,13,11,3,5,5,5,6,5,5,4,13,13,3,5,9,6,0,2,4,9,16,0,3,20,8,4,4,16,5,4,5,4,3,316
5,THEFT,20,36,30,63,900,123,23,11,27,17,40,36,39,9,11,31,56,26,4,56,17,67,8,16,22,30,22,35,33,61,42,33,46,37,18,31,32,18,2126
6,RIOTS,4,5,6,26,6,13,11,4,11,0,17,5,26,7,5,12,25,2,0,16,5,0,0,8,1,5,2,2,14,12,5,13,11,6,8,9,13,16,331
7,CASES OF HURT,9,22,21,48,406,47,70,22,41,35,65,18,32,12,7,76,24,17,16,30,19,3,29,35,10,51,9,33,90,19,39,79,69,25,36,15,47,16,1642
8,Spl & Local laws,93,148,68,172,1976,242,98,76,109,102,163,44,130,70,80,119,133,102,43,138,59,18,54,42,73,107,157,62,137,146,105,193,185,81,123,112,161,47,5968
9a,RAPE,0,0,2,1,7,1,0,0,1,0,4,1,0,1,0,3,2,2,1,2,0,0,0,0,0,0,2,0,2,1,1,1,6,3,3,1,2,2,52
9b,DOWRY DEATHS,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,7
10,POCSO,3,6,1,10,47,16,1,7,12,5,12,6,13,2,3,9,8,1,4,7,0,2,7,4,4,8,4,2,7,3,9,13,9,3,9,6,11,4,278
11,SC ST & POA Act,4,3,5,8,20,7,2,1,5,4,2,1,7,6,0,8,10,3,1,4,2,0,2,3,4,6,1,3,3,8,11,10,13,9,7,2,15,5,205
12a,107 Cr.P.C.,219,263,90,556,391,357,406,130,54,294,155,519,520,147,355,307,102,94,142,241,144,2,293,100,466,93,429,92,273,500,60,417,145,109,223,492,306,172,9658
12b,109 Cr.P.C.,24,8,4,10,216,14,6,30,2,11,10,0,9,6,37,14,5,2,4,6,9,34,5,3,3,11,6,15,16,6,6,5,45,2,11,16,17,4,632
12c,110 Cr.P.C.,43,10,9,56,1170,126,30,48,37,26,78,62,60,19,10,367,136,116,104,21,8,42,62,255,6,167,43,167,39,5,117,4,53,153,114,114,62,42,3981
13,CYBER CRIME,4,10,10,5,1530,71,1,2,9,9,7,7,19,4,9,17,5,23,6,4,1,0,5,7,0,4,14,27,5,0,25,10,26,25,21,8,6,3,1939
14a,Cr. Br. of Trust,0,0,2,1,24,2,0,0,1,0,1,3,0,1,0,1,0,2,0,1,0,0,0,1,1,2,0,5,0,1,0,0,1,1,1,2,0,0,54
14b,CHEATING,5,11,9,18,284,36,7,4,6,6,11,5,5,0,3,9,9,6,2,5,4,0,1,8,4,7,9,14,5,3,14,19,20,11,7,6,8,4,585
14c,COUNTERFEITING,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,4
15,KMMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3
15a,MMDR,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,1,0,0,0,0,10
16,"Motor vehicles
Theft Cases",11,15,20,32,526,82,16,3,10,6,14,8,22,3,5,12,27,17,1,6,13,5,0,8,7,19,6,24,19,15,18,16,25,9,8,4,24,4,1060
17,NDPS Cases,2,6,12,12,38,17,0,1,3,15,5,6,11,1,0,10,3,14,1,5,1,9,7,3,0,5,118,2,1,0,1,33,2,14,8,3,1,0,370
