Sl. No.,Heads of Crime,"During the
current year upto
the end of month
under review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
,Trust - Religious,0,0,0,0
,Others,7,0,1,1
,Sub Total,12,0,1,1
28,CRIMINAL TRESPASS (Sec.447 to 452 IPC),,,,
,Attempt to Commit,11,1,0,0
,Club,2,1,0,1
,Hostel,2,0,0,1
,Hotel,12,4,1,1
,House,549,45,53,51
,Land,1282,92,111,116
,Office,59,3,4,4
,Prohibited Places,13,3,0,0
,Religious Place,13,0,1,0
,Restricted Area,18,1,0,2
,Others,212,13,22,24
,Sub Total,2173,163,192,200
29,CRUELTY BY HUSBAND (Sec. 498(A) IPC),,,,
,Husband,1023,79,102,96
,Husband And Relative(S) in Law,1277,120,133,105
,Relative(S) in Law,27,4,2,2
,Dowry Harassment,457,36,61,33
,Prevention of Gaming,0,0,0,0
,Sub Total,2784,239,298,236
30,DOWRY DEATHS (Sec.304(B) IPC),,,,
,By Husband,8,1,0,0
,By Husband And Relatives In Law,68,11,9,7
,By Relatives in Law,0,0,0,0
,By Burning,4,0,1,1
,By Hanging,62,6,4,6
,By Other Means,6,0,0,0
,Sub Total,148,18,14,14
31,"DEATHS DUE TO RASHNESS/NEGLIGENCE
(Sec.304(A) IPC)",,,,
,Electrocution,21,3,4,1
,Adulterated Food/Drug,0,0,0,0
,Accident by Air,1,0,0,0
,Boad Accident,0,0,0,0
,Bridge/Dam Collapse,0,0,0,0
,Building Collapse,9,1,1,0
,Caused By Animal,3,0,0,0
,Death Due to Other Cause,64,6,2,6
,Electrocution Accident,55,1,7,4
,Explosion Accident,1,0,0,0
,Fire accident,0,0,0,0
,Gas Leakage Accident,3,0,0,0
,Improper Infrastucture In Construction,69,6,6,8
,Improper Medical Treatment,3,0,0,0
,In Custody of Public Servant,0,0,0,0
,In Jail/Judicial Custody,1,0,0,1
,In Police Custody,0,0,0,0
,Industrial Accident (Factory),4,1,1,1
,Inflammable Substance,0,0,0,0
,Mine Accident,0,0,0,0
,Poisonous Substance,0,0,0,0
,Quarry Accident,1,0,0,0
,Spurious Liquor (Hooch) Accident,0,0,0,0
,Railway Accident,0,0,0,0
,Others,71,8,6,10
,Sub Total,306,26,27,31
32,"MOTOR VEHICLE ACCIDENTS FATAL
(Sec.304(A) IPC)",,,,
,National Highways,3583,311,348,330
,State Highways,2841,238,246,244
,Other Roads,3839,342,357,327
,Other Places,169,13,18,18
,Sub Total,10432,904,969,919
