"KARNATAKA SAKALA SERVICES ACT, 2011 AND (AMENDMENT) ACT, 2014",,,,,,
Unitwise - Month wise Report on Receipts & Disposals - March - 2026,,,,,,
"Police Department has implemented 24 SAKALA Services through PoliceIT Application. The district wise details of
received, disposed and overdue status of services for March 2026 as on 31.03.2026 are as under.",,,,,,
Sl No,District,"No. of SAKALA Receipts
during the Month","No. of SAKALA Disposals
during the Month","No. of Pendency After due
date as on 31.03.2026",,
1,BELAGAVI CITY,4500,4276,41,,
2,BENGALURU CITY,46532,45574,140,,
3,HUBLI-DHARWAD CITY,1193,1129,113,,
4,KALABURAGI CITY,1617,1804,35,,
5,MANGALURU CITY,1807,2139,59,,
6,MYSURU CITY,3954,3920,12,,
7,BAGALKOT DISTRICT,1558,1638,21,,
8,BALLARI DISTRICT,1731,1842,20,,
9,BELAGAVI DISTRICT,1818,1841,273,,
10,BENGALURU RURAL DISTRICT,2236,2220,156,,
11,BIDAR DISTRICT,1253,1288,55,,
12,CHAMARAJANAGAR DISTRICT,1790,1741,7,,
13,CHIKKABALLAPURA DISTRICT,2155,2294,3,,
14,CHIKKAMAGALURU DISTRICT,2500,2528,5,,
15,CHITRADURGA DISTRICT,2628,2244,32,EEExxxppitoo,rrtt ttoo PExDcFel
16,DAKSHINA KANNADA DISTRICT,1464,1533,32,,
17,DAVANAGERE DISTRICT,2286,2125,3,,
18,DHARWAD DISTRICT,1312,1131,85,,
19,GADAG DISTRICT,828,776,1,,
20,HASSAN DISTRICT,3543,3509,0,,
21,HAVERI DISTRICT,1523,1515,24,,
22,KALABURAGI DISTRICT,495,471,2,,
23,KODAGU DISTRICT,1786,1837,0,,
24,KOLAR DISTRICT,994,836,0,,
25,KGF,1077,1043,0,,
26,KOPPAL DISTRICT,948,946,0,,
27,MANDYA DISTRICT,3409,3147,5,,
28,MYSURU DISTRICT,2854,2331,4,,
29,RAICHUR DISTRICT,1564,1686,72,,
30,BENGALURU SOUTH DISTRICT,2833,2620,5,,
31,SHIVAMOGGA DISTRICT,3352,3429,139,,
32,TUMAKURU DISTRICT,3957,3574,43,,
33,UDUPI DISTRICT,2300,2356,15,,
34,UTTARA KANNADA DISTRICT,2962,3393,1,EEExxxppitoo,rrtt ttoo PExDcFel
35,VIJAYANAGARA DISTRICT,1755,1563,2,,
36,VIJAYAPURA DISTRICT,2707,2671,15,,
37,YADGIR DISTRICT,764,1159,39,,
,Total,121985,120129,1459,,
