Name of the unit,No. of cases,Name of the unit,No. of cases
Bengaluru City,4,Ramanagara District,4
Bengaluru District,3,Shivamogga District,3
Kalaburgi City,2,Davanagere District,1
Haveri District,1,Kalaburgi District,1
Mysore District,1,,
