Sl. No.,Heads of Crime,"During the
current year
upto the end of
month under
review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
D.CRIME AGAINST CHILDREN,,,,,
1,"Infanticide/ Foeticide
(Sec. 315 & 316 IPC)",0,0,0,0
2,Rape on Minor,0,0,0,0
3,Exposure & abandonment (Sec. 317 IPC),16,8,5,6
4,Kidnapping & Abduction of Children,1033,250,335,359
4.1,For Ransom - of Children,3,1,1,2
4.2,of Children - for begging,0,0,0,0
4.3,of Girls - Immoral Purpose,0,0,0,0
4.4,With intent to Steal from Child,0,0,0,0
4.5,Lawful Guardianship,0,0,0,0
4.6,Procuration of Minor Girls - For Prostitution,0,0,0,0
4.7,Procuration of Minor Girls - Importing of Girl,1,0,0,0
4.8,Procuration of Minor Girls - For Other Purposes,5,0,3,1
,Sub Total,1042,251,339,362
5,Selling of girls for Prostitution (Sec.372 IPC),0,0,0,0
6,The Prohibition of Child Marriage Act - 2006,28,10,11,9
7,POCSO Act,917,300,309,278
8,Death of Children due to miscarriage,8,0,4,1
9,Juvenile Justice Act,30,2,8,13
10,Child Labour (Pro.& Reg.) Act,19,0,4,2
11,Probation of Offenders Act,0,0,0,0
,Total (Item 1 to 11),2060,571,680,671
