Sl. No.,Heads of Crime,"During the
current year upto
the end of month
under review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
D.CRIME AGAINST CHILDREN,,,,,
1,"Infanticide/ Foeticide
(Sec. 315 & 316 IPC)",0,0,0,0
2,Rape on Minor,0,0,0,0
3,Exposure & abandonment (Sec. 317 IPC),31,8,2,4
4,Kidnapping & Abduction of Children,1590,264,311,310
4.1,For Ransom - of Children,2,2,0,0
4.2,of Children - for begging,0,0,0,0
4.3,of Girls - Immoral Purpose,1,0,1,0
4.4,With intent to Steal from Child,0,0,0,0
4.5,Lawful Guardianship,1,0,0,0
4.6,Procuration of Minor Girls - For Prostitution,0,0,0,0
4.7,Procuration of Minor Girls - Importing of Girl,1,0,0,0
4.8,Procuration of Minor Girls - For Other Purposes,6,0,1,2
,Sub Total,1601,266,313,312
5,Selling of girls for Prostitution (Sec.372 IPC),0,0,0,0
6,The Prohibition of Child Marriage Act - 2006,72,21,12,17
7,POCSO Act,1642,293,294,281
8,Death of Children due to miscarriage,5,0,1,2
9,Juvenile Justice Act,43,10,12,7
10,Child Labour (Pro.& Reg.) Act,67,7,19,18
11,Probation of Offenders Act,1,0,0,0
,Total (Item 1 to 11),3462,605,653,641
