Sl. No.,Heads of Crime,"During the
current year upto
the end of month
under review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
3,ANIMAL,,,,
,"The Karnataka Prevention of Slaughter and
Preservation of Cattle Ordinance 2020",27,14,15,12
,Wild Life Preservation Act 1972,0,0,0,0
,Wild Life Protection Act 1972,1,0,1,0
,Prevention of Cruelty to Animals Act 1960,24,21,16,8
,Elephant (Preservation) Act 1879,0,0,0,0
,Cattle Tresspass Act 1871,0,2,0,0
,Sub Total,52,37,32,20
