Sl. No.,Heads of Crime,"During the
current year
upto the end of
month under
review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
11,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO
460, 462 IPC/305,R/W 331(1) TO 331(8), 334(2)
BNS)",,,,
,At Residential Premises,996,85,98,98
,On Highways,0,0,0,0
,In Trains,0,0,0,0
,At Banks,1,0,0,0
,At Commercial Places / Establishments,37,2,3,1
,In Other Places,50,7,9,4
,Temple Theft,17,0,2,2
,Sub Total,1101,94,112,105
,Total Burglary (Burglary Day + Burglary Night),5006,432,400,450
12,"THEFT (Sec.379 to 389 IPC/303(2) TO 308(7)
BNS)",,,,
,Attempt to commit,52,4,4,7
,Of Automobiles - Of Tractors,84,11,9,3
,In Running Bus,107,7,12,10
,Of Snatching,543,57,29,47
,At ATM,25,3,0,1
,Of Sand,1293,119,105,122
,Government Office,32,4,1,2
,Of Mines,101,2,10,8
,Communication And Elec. Wire,295,23,29,34
,Of Cattle,544,34,43,41
,Of Cycle,28,2,2,0
,Of Automobiles - Of Lorries/Trucks,116,7,14,9
,Of Automobiles - Of Buses,3,2,1,1
,Of Automobiles - Of Cars / Jeeps,250,31,16,18
,Of Automobiles - Of Two Wheelers,8860,841,715,747
,Of Automobies - of Three Wheelers,227,30,18,17
,Of Accessories of Motor Vehicle,226,26,13,16
,Govt. Vehicle,2,0,0,0
,"Electronic Goods (Radio, TV, VCR, Acs, Office
Automation Equipments)",985,98,67,78
,Of Fire Arms,9,1,0,0
,Of Explosives,1,0,0,0
,Of Cultural - Idols,11,2,1,0
,Of Cultural - Painting,0,1,0,0
,Of Cultrual - Others,253,22,26,20
,Cash,510,51,43,43
,Jewellery,1478,147,122,122
,Other Items Not Included Above,1706,156,161,179
,In Running Train,44,6,1,3
,Extortion,283,22,28,21
,House Theft,1936,141,167,182
,Servant Theft,527,39,51,42
,Sub Total,20531,1889,1688,1773
13,"RIOTS (Sec.141 to 153 IPC/189(1) TO
189(6),191(1)TO 191(3), 190,192,195 BNS))",,,,
,Land Dispute,1045,69,89,94
,Employee - Govt.,3,0,0,1
,Labour - Private Sector,2,0,0,1
,Labour - Public Sector,1,0,0,0
,Linguistic,3,0,0,0
,Political,5,7,0,1
,Regional,4,0,0,1
,Sectarian,0,0,0,0
,Students,2,0,0,0
,Tribal,0,0,0,0
,Due to Village Disputes,12,0,0,1
,Communal,4,0,0,0
,Industrial,5,0,2,0
,Caste,5,0,0,0
,Agrarian,2,0,1,1
,Others,2298,177,159,183
,Sub Total,3391,253,251,283
