Sl.No,District_Name,FIR Count,FIR eSign Count,FIR %
1,Dakshina Kannada,178,170,95.51
2,Bagalkot,328,309,94.21
3,Chamarajanagar,215,197,91.63
4,Belagavi Dist,664,598,90.06
5,Uttara Kannada,288,242,84.03
6,Ballari,271,227,83.76
7,Haveri,348,279,80.17
8,Vijayapur,325,260,80.00
9,Udupi,300,239,79.67
10,Gadag,218,155,71.10
11,Dharwad,158,100,63.29
12,Koppal,252,149,59.13
13,Hubballi Dharwad City,326,160,49.08
14,Tumakuru,717,252,35.15
15,Mangaluru City,259,51,19.69
16,Kalaburagi City,208,38,18.27
17,Chickballapura,340,58,17.06
18,Kodagu,177,30,16.95
19,Mysuru Dist,474,80,16.88
20,Bengaluru Dist,803,109,13.57
21,Shivamogga,599,75,12.52
22,Bidar,389,48,12.34
23,Kalaburagi,262,29,11.07
24,Hassan,552,51,9.24
25,Mandya,507,44,8.68
26,Davanagere,429,35,8.16
27,Karnataka Railways,108,8,7.41
28,Chikkamagaluru,352,26,7.39
29,Belagavi City,217,16,7.37
30,Mysuru City,284,19,6.69
31,Bengaluru City,6596,397,6.02
32,Raichur,351,15,4.27
33,K.G.F,138,5,3.62
34,Vijayanagara,320,6,1.88
35,Chitradurga,502,4,0.80
36,Kolar,325,0,0.00
37,Ramanagara,505,0,0.00
38,Yadgir,212,0,0.00
TOTAL,,19497,4481,22.98
