S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
1,Bagalkot,175,175,0,
2,Ballari,160,159,1,
3,Belagavi City,233,210,23,
4,Belagavi Dist,292,221,71,
5,Bengaluru City,"3,244","1,558",1686,
6,Bengaluru Dist,225,56,169,
7,Bidar,184,95,89,
8,Chamarajanagar,136,116,20,
9,Chickballapura,132,126,6,
10,Chikkamagaluru,205,151,54,
11,Chitradurga,195,102,93,
12,Coastal Security Police,56,24,32,
13,Dakshina Kannada,172,166,6,
14,Davanagere,224,172,52,
15,Dharwad,120,117,3,
16,Gadag,178,121,57,
17,Hassan,212,212,0,
18,Haveri,166,126,40,
19,Hubballi Dharwad City,245,135,110,
20,K.G.F,100,43,57,
21,Kalaburagi,210,80,130,
22,Kalaburagi City,185,108,77,
23,Karnataka Railways,94,77,17,
24,Kodagu,153,119,34,
25,Kolar,180,54,126,
26,Koppal,167,133,34,
27,Mandya,221,186,35,
28,Mangaluru City,247,93,154,
29,Mysuru City,264,113,151,
30,Mysuru Dist,191,138,53,
31,Raichur,176,149,27,
32,Ramanagara,204,75,129,
33,Shivamogga,215,197,18,
34,Tumakuru,333,100,233,
35,Udupi,173,158,15,
,,,,,
