Sl. No.,Heads of Crime,"During the
current year upto
the end of month
under review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
50,"INSULTING MODESTY OF WOMEN (EVE
TEASING) (Sec.509 IPC)",,,,
,Attempt to Commit,6,1,1,0
,Office,10,0,0,0
,Public Conveyance,2,0,0,0
,Public Place,45,1,6,3
,Other Places,61,2,6,5
,Sub Total,124,4,13,8
51,"SUICIDE (Sec.305, 306, 309 IPC)",,,,
,Dowry,7,0,0,0
,Abetment of Suicide,267,31,25,21
,Other Reasons,311,31,24,28
,Attempt to Commit suicide,140,5,19,9
,Sub Total,725,67,68,58
52,UNNATURAL SEX (Sec.377 IPC),,,,
,Abetment,0,0,0,0
,Animal,5,1,1,0
,Attempt,0,0,0,0
,Major - Man,3,0,0,0
,Major - Woman,4,0,0,0
,Minor - Boy,1,0,0,0
,Minor - Girl,0,0,0,0
,Sub Total,13,1,1,0
53,"WRONGFUL RESTRAINT/CONFINEMENT
(Sec.341 to 348 IPC)",,,,
,Attempt to Commit,23,5,2,4
,To Extort Confession,5,0,1,1
,To Extort Property,15,0,1,0
,To settle Dispute,22,0,3,3
,Others,374,32,29,31
,Sub Total,439,37,36,39
54,"INFANTICIDE (Sec.315, 316 IPC)",,,,
,Male,0,0,0,0
,Female,0,0,0,0
,Sub Total,0,0,0,0
55,"OFFENCES RELATED TO MARRIAGE (Sec.493 to
498 IPC)",45,3,6,2
56,"BUYING & SELLING MINOR FOR PROSTITUTION
(Sec.372, 373 IPC)",0,0,0,0
57,"DOCUMENTS & PROPERTY MARKS (Sec.483 to
489 IPC)",,,,
,Documents,1,0,0,0
,Property,2,0,2,0
,Sub Total,3,0,2,0
58,DEFAMATION (Sec.500 to 502 IPC),,,,
,Persons,5,0,1,1
,Printed Matter,1,0,0,0
,Others,1,1,0,0
,Sub Total,7,1,1,1
59,ELECTION(Sec.171(E) to 171(1) IPC),,,,
,Assembly,1016,0,1,0
,Parliament,3,0,0,0
,Other Elected Bodies,30,0,0,0
,Sub Total,1049,0,1,0
60,"SLAVERY (Sec.370, 371, 374 IPC)",,,,
,Man,0,0,0,0
,Woman,0,0,0,0
,Boy,0,0,0,0
,Girl,1,0,0,1
,Sub Total,1,0,0,1
