Name of the unit,No. of cases,Name of the unit,No. of cases
Bengaluru City,4,Haveri District,3
Kalaburgi City,1,Belagavi District,1
Davanagere District,1,Hassan District,1
Ramanagara District,1,Shivamogga District,1
Bagalkot District,1,,
