DISTRICT-WISE REPORTED CASES UNDER VARIOUS HEADS FOR THE MONTH OF APRIL - 2025 (AS ON 02/05/2025),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sl.
No.",Crime Head,"to
k
la
ga
B","ira
lla
B","ytiC
iva
ga
le
B","tsiD
iva
ga
le
B","ytic
u
ru
la
gn
e
B","tcirtsiD
u
ru
la
gn
e
B","ra
d
iB","ra
ga
n
a
ja
ra
m
a
h
C","a
ru
p
a
lla
b
k
cih
C","u
ru
la
ga
m
a
kk
ih
C","a
g
ru
d
a
rtih
C","a
d
a
n
n
a
k
a
n
ih
sk
a
D","e
re
ga
n
a
va
D","d
a
w
ra
h
D","ga
d
a
G","n
a
ssa
H","ire
va
H","ytiC
d
a
w
ra
h
D
illa
b
b
u
H","F.G
.K","iga
ru
b
a
la
K","ytiC
iga
ru
b
a
la
K","sya
w
lia
R
a
k
a
ta
n
ra
K","u
ga
d
o
K","ra
lo
K","la
p
p
o
K","a
yd
n
a
M","ytiC
u
ro
o
la
gn
a
M","ytiC
u
ru
syM","tcirtsiD
u
ru
syM","ru
h
cia
R","a
ra
ga
n
a
m
a
R","a
g
g
o
m
a
v
ih
S","u
ru
k
a
m
u
T","ip
u
d
U","a
d
a
n
n
a
k
a
ra
ttU","a
ra
ga
n
a
ya
jiV","ru
p
a
ya
jiV","rigd
a
Y","la
to
T"
1,MURDER,3,3,2,3,18,4,6,2,3,4,4,0,5,4,2,4,1,0,1,7,2,0,2,1,1,3,1,3,5,5,4,3,5,1,1,3,3,2,121
2,DACOITY,0,0,1,0,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8
3,ROBBERY,2,1,2,1,14,2,1,0,0,0,1,0,3,0,0,0,1,0,0,2,1,0,0,1,2,1,0,2,2,0,1,1,4,0,1,0,0,0,46
3a,CHAIN SNATCHING,0,1,0,1,5,0,0,0,1,0,0,2,4,0,0,4,1,0,0,0,0,1,0,0,0,2,0,4,0,0,4,2,2,1,2,0,1,0,38
4a,BURGLARY - DAY,3,0,8,4,19,6,2,2,2,1,1,3,4,2,1,2,2,0,1,2,3,0,0,0,2,1,0,0,4,4,1,2,6,0,2,0,1,0,91
4b,BURGLARY - NIGHT,2,5,11,14,52,10,13,7,11,7,4,4,10,1,0,9,11,4,1,10,10,0,5,6,8,5,2,5,9,9,14,12,15,3,5,7,10,2,313
5,THEFT,11,28,16,24,644,135,19,19,17,26,28,11,32,12,11,33,45,10,8,39,19,45,11,12,27,34,14,19,46,70,35,42,60,30,9,31,30,19,1721
5a,SNATCHING,0,0,1,1,50,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,61
6,RIOTS,6,8,5,15,0,7,16,7,12,8,17,4,18,5,2,5,22,2,0,13,1,0,0,15,10,2,1,1,19,14,3,7,2,3,6,13,18,8,295
7,CASES OF HURT,12,18,13,43,290,79,57,31,39,34,74,12,26,11,7,107,18,8,8,41,15,2,27,28,21,60,15,18,87,19,35,77,68,21,27,26,41,13,1528
