Sl. No.,Heads of Crime,"During the
current year upto
the end of month
under review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
E. CRIME AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs,,,,,
1,Murder,8,4,5,8
2,Rape,19,17,23,19
3,Kidnapping,7,8,1,7
4,Offences under the Protection of Civil Rights Act.,0,0,0,0
5,"Offences under the SC & ST (prevention of
Atrocities)Act 1989 (if the victim is SC)",172,130,167,172
,Total (Item 1 to 5),206,159,196,206
