Sl.No.,Location of Accidents,No. of Cases,,,No. of Persons,,
,,Fatal,Non-Fatal,Total,Killed,Injured,Total
1,National Highways,3 0 4,852,1156,340,1791,2131
2,State Highways,242,589,831,267,1212,1479
3,Other Roads,3 42,1066,1408,351,1578,1929
,TOTAL,888,2507,3395,958,4581,5539
