Sl.No.,Location of Accidents,No. of Cases,,,No. of Persons,,
,,Fatal,Non-Fatal,Total,Killed,Injured,Total
1,National Highways,2 9 2,808,1100,292,1509,1801
2,State Highways,192,539,731,192,1005,1197
3,Other Roads,3 08,1129,1437,308,1710,2018
,TOTAL,792,2476,3268,792,4224,5016
