Sl. No.,Heads of Crime,"During the
current year
upto the end of
month under
review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
D.CRIME AGAINST CHILDREN,,,,,
1,"Infanticide/ Foeticide
(Sec. 315 & 316 IPC)",3,0,0,1
2,Rape on Minor,0,0,0,0
3,Exposure & abandonment (Sec. 317 IPC),26,3,6,4
4,Kidnapping & Abduction of Children,1709,332,402,381
4.1,For Ransom - of Children,5,0,0,2
4.2,of Children - for begging,0,0,0,0
4.3,of Girls - Immoral Purpose,0,0,0,0
4.4,With intent to Steal from Child,0,0,0,0
4.5,Lawful Guardianship,1,0,0,0
4.6,Procuration of Minor Girls - For Prostitution,0,0,0,0
4.7,Procuration of Minor Girls - Importing of Girl,0,0,0,0
4.8,Procuration of Minor Girls - For Other Purposes,8,0,1,1
,Sub Total,1723,332,403,384
5,Selling of girls for Prostitution (Sec.372 IPC),0,0,0,0
6,The Prohibition of Child Marriage Act - 2006,85,17,19,30
7,POCSO Act,1772,404,349,344
8,Death of Children due to miscarriage,9,3,3,2
9,Juvenile Justice Act,76,19,8,13
10,Child Labour (Pro.& Reg.) Act,24,4,2,4
11,Probation of Offenders Act,0,0,0,0
,Total (Item 1 to 11),3718,782,790,782
