Name of the unit,No. of cases,Name of the unit,No. of cases
Bengaluru City,4,Shivamogga District,2
Uttara Kannada District,2,Bagalkot District,1
Bengaluru District,1,Chamarajanagar District,1
Davanagere District,1,Hassan District,1
Koppal District,1,Raichur District,1
Tumakuru District,1,Udupi District,1
Vijayapura District,1,,
