S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
36,Uttara Kannada,220,219,1,
37,Vijayanagara,145,143,2,
38,Vijayapur,216,216,0,
39,Yadgir,141,85,56,
40,Forest Cell,47,32,15,
41,CID,209,130,79,
42,ISD Bengaluru,77,74,3,
43,State INT,711,492,219,
44,APTS Yelahanka,20,0,20,
45,Battalion I - Bangalore,62,54,8,
46,Battalion II - Belgaum,36,3,33,
47,Battalion III - Bangalore,51,51,0,
48,Battalion IV - Bangalore,45,25,20,
49,Battalion IX - Bangalore,40,40,0,
50,Battalion V - Mysore,42,41,1,
51,Battalion VI - Gulbarga,41,38,3,
52,Battalion VII - Mangalore,36,35,1,
53,Battalion VIII - Shimoga,43,40,3,
54,Battalion X - Haveri,40,32,8,
55,Battalion XI - Hassan,49,47,2,
56,Battalion XII Tumakuru,40,40,0,
57,Central Range,6,0,6,
58,Centre for Counter Terrorism,44,39,5,
59,Chief Office,125,22,103,
60,COMMANDANT MOUNTED,KARP 19,19,0,
61,Eastern Range,3,3,0,
62,FPB Unit,19,0,19,
63,FSL Madiwala,22,8,14,
64,I.R.B. Vijayapura,40,8,32,
65,IGP Railways,3,3,0,
66,IGP TRAINING,8,8,0,
67,IIIrd BN KSISF,27,23,4,
68,IInd BN KSISF,25,23,2,
69,IRB Munirabad,58,49,9,
70,ISD,143,140,3,
71,Ist BN KSISF,43,43,0,
72,Kalaburgi Range,6,3,3,
73,KPA Mysore,36,35,1,
74,KSPTS Channapatna,20,11,9,
,,,,,
