Sl.No.,Location of Accidents,No. of Cases,,,No. of Persons,,
,,Fatal,Non-Fatal,Total,Killed,Injured,Total
1,National Highways,2 5 2,889,1141,252,1713,1965
2,State Highways,202,568,770,202,1286,1488
3,Other Roads,3 08,1163,1471,308,1923,2231
,TOTAL,762,2620,3382,762,4922,5684
