S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
1,Bagalkot,168,148,20,
2,Ballari,159,155,4,
3,Belagavi City,233,233,0,
4,Belagavi Dist,290,204,86,
5,Bengaluru City,"3,214","2,263",951,
6,Bengaluru Dist,219,30,189,
7,Bidar,179,142,37,
8,Chamarajanagar,136,127,9,
9,Chickballapura,134,130,4,
10,Chikkamagaluru,197,186,11,
11,Chitradurga,195,156,39,
12,Coastal Security Police,55,35,20,
13,Dakshina Kannada,172,165,7,
14,Davanagere,223,189,34,
15,Dharwad,118,113,5,
16,Gadag,176,172,4,
17,Hassan,211,211,0,
18,Haveri,156,156,0,
19,Hubballi Dharwad City,283,164,119,
20,K.G.F,109,89,20,
21,Kalaburagi,220,121,99,
22,Kalaburagi City,178,149,29,
23,Karnataka Railways,94,81,13,
24,Kodagu,143,133,10,
25,Kolar,207,150,57,
26,Koppal,166,166,0,
27,Mandya,221,199,22,
28,Mangaluru City,243,174,69,
29,Mysuru City,274,164,110,
30,Mysuru Dist,205,198,7,
31,Raichur,185,181,4,
32,Ramanagara,204,127,77,
33,Shivamogga,237,213,24,
34,Tumakuru,330,177,153,
35,Udupi,220,216,4,
,,,,,
