Sl. No.,Heads of Crime,"During the
current year upto
the end of month
under review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
35,CYBER CRIME,,,,
,"Information Technology Act 2000, 2009",9348,964,1570,1759
,Sub Total,9348,964,1570,1759
36,NATIONAL SECURITY ACT,0,0,0,0
37,POCSO,,,,
,Custodial Rape,0,0,0,0
,Gang Rape,4,1,0,0
,Rape with Murder,1,0,0,0
,Rape,1175,211,206,209
,Others,462,81,88,72
,Sub Total,1642,293,294,281
,Total (Item 1 to 36),32270,4602,4461,6752
C. CRIMES AGAINST WOMEN,,,,,
1,Rape (Sec. 376 IPC),,,,
,1.1 Custodial Rape,0,0,0,0
,1.2 Gang Rape,4,0,0,2
,1.3 other Cases of Rape,287,48,47,67
,Sub Total,291,48,47,69
2,Outraging modesty (Molestation) (sec.354 IPC),3041,577,520,629
3,Kidnapping & Abduction of Women: (Sec.366 IPC),76,18,12,21
4,"Insulting modesty (Eve-Teasing) (Sec.294 & 509 IPC
if victim is a woman)",53,4,11,7
5,Murder for Dowry - by burning (Sec.302 IPC),0,0,0,0
6,"Murder for Dowry - by other means
(Sec.302 IPC)",5,2,1,1
7,Murder for other reasons,202,38,33,34
8,"Attempt to Commit Murder for dowry by burning
(Sec.307 IPC)",0,0,0,0
9,"Attempt to Commit Murder for dowry by other
means (Sec.307 IPC)",26,9,6,5
10,Attempt to Commit murder for other reasons,401,63,60,93
11,"Dowry Death-by burning
(Sec.304-B IPC)",1,0,0,0
12,Dowry Death-by other Means (Sec.304(B) IPC),66,18,14,9
13,"Cruelty by Husband or Relatives of Husband
(Sec.498-A IPC)",1429,279,199,352
14,Abetment of Suicide (Sec.306 IPC),73,8,9,11
15,Immoral Traffic (prevention) Act.,125,14,22,34
16,"Indecent Representation of Women(Prohibition) Act-
1986",0,1,0,0
17,Pornography,2,0,0,0
18,"Offences against Public Servants (Sec.182-188-333-
353 IPC)",55,11,7,10
19,Offences related to Marriage,19,2,3,4
20,Cyber Crimes,3405,322,584,656
,Total (Item 1 to 20),9270,1414,1528,1935
